Number of species	9
Number of genes	37582
Number of genes in orthogroups	34137
Number of unassigned genes	3445
Percentage of genes in orthogroups	90.8
Percentage of unassigned genes	9.2
Number of orthogroups	5772
Number of species-specific orthogroups	228
Number of genes in species-specific orthogroups	643
Percentage of genes in species-specific orthogroups	1.7
Mean orthogroup size	5.9
Median orthogroup size	5.0
G50 (assigned genes)	9
G50 (all genes)	8
O50 (assigned genes)	1662
O50 (all genes)	1877
Number of orthogroups with all species present	1264
Number of single-copy orthogroups	876
Date	2020-04-14
Orthogroups file	Orthogroups.tsv
Unassigned genes file	Orthogroups_UnassignedGenes.tsv
Per-species statistics	Statistics_PerSpecies.tsv
Overall statistics	Statistics_Overall.tsv
Orthogroups shared between species	Orthogroups_SpeciesOverlaps.tsv

Average number of genes per-species in orthogroup	Number of orthogroups	Percentage of orthogroups	Number of genes	Percentage of genes
<1	4107	71.2	17037	49.9
'1	1608	27.9	15706	46.0
'2	47	0.8	999	2.9
'3	7	0.1	216	0.6
'4	2	0.0	74	0.2
'5	0	0.0	0	0.0
'6	0	0.0	0	0.0
'7	0	0.0	0	0.0
'8	0	0.0	0	0.0
'9	0	0.0	0	0.0
'10	0	0.0	0	0.0
11-15	1	0.0	105	0.3
16-20	0	0.0	0	0.0
21-50	0	0.0	0	0.0
51-100	0	0.0	0	0.0
101-150	0	0.0	0	0.0
151-200	0	0.0	0	0.0
201-500	0	0.0	0	0.0
501-1000	0	0.0	0	0.0
'1001+	0	0.0	0	0.0

Number of species in orthogroup	Number of orthogroups
1	228
2	1386
3	732
4	458
5	367
6	324
7	460
8	553
9	1264
