target_id	length	eff_length	est_counts	tpm
2767802316_GNJGOIBN_00001	1455	1305.03	48	0.950072
2767802316_GNJGOIBN_00002	225	85.1793	0	0
2767802316_GNJGOIBN_00003	198	63.6185	0	0
2767802316_GNJGOIBN_00004	726	576.03	0	0
2767802316_GNJGOIBN_00005	987	837.03	0	0
2767802316_GNJGOIBN_00006	837	687.03	0	0
2767802316_GNJGOIBN_00007	669	519.03	0	0
2767802316_GNJGOIBN_00008	1071	921.03	0	0
2767802316_GNJGOIBN_00009	564	414.03	414	25.8288
2767802316_GNJGOIBN_00010	1560	1410.03	30	0.549577
2767802316_GNJGOIBN_00011	1755	1605.03	9	0.144842
2767802316_GNJGOIBN_00012	333	184.441	0	0
2767802316_GNJGOIBN_00013	1722	1572.03	93	1.52812
2767802316_GNJGOIBN_00014	930	780.03	11	0.364265
2767802316_GNJGOIBN_00015	561	411.03	63	3.95916
2767802316_GNJGOIBN_00016	759	609.03	42	1.78134
2767802316_GNJGOIBN_00017	1773	1623.03	14	0.222811
2767802316_GNJGOIBN_00018	1035	885.03	11	0.321048
2767802316_GNJGOIBN_00019	1374	1224.03	27	0.569781
2767802316_GNJGOIBN_00020	780	630.03	4	0.163996
2767802316_GNJGOIBN_00021	762	612.03	14	0.590869
2767802316_GNJGOIBN_00022	1377	1227.03	9	0.189463
2767802316_GNJGOIBN_00023	1683	1533.03	29	0.488634
2767802316_GNJGOIBN_00024	210	72.9721	6	2.12388
2767802316_GNJGOIBN_00025	1422	1272.03	86	1.74637
2767802316_GNJGOIBN_00026	1131	981.03	66	1.73779
2767802316_GNJGOIBN_00027	2469	2319.03	90	1.00247
2767802316_GNJGOIBN_00028	822	672.03	27	1.03779
2767802316_GNJGOIBN_00029	636	486.03	9	0.478316
2767802316_GNJGOIBN_00030	702	552.03	5	0.233961
2767802316_GNJGOIBN_00031	1446	1296.03	7	0.139514
2767802316_GNJGOIBN_00032	567	417.03	3	0.185819
2767802316_GNJGOIBN_00033	405	255.194	0	0
2767802316_GNJGOIBN_00034	357	207.915	6	0.745421
2767802316_GNJGOIBN_00035	1329	1179.03	6	0.131451
2767802316_GNJGOIBN_00036	792	642.03	2	0.0804656
2767802316_GNJGOIBN_00037	762	612.03	7	0.295434
2767802316_GNJGOIBN_00038	684	534.03	24	1.16086
2767802316_GNJGOIBN_00039	2472	2322.03	29	0.322601
2767802316_GNJGOIBN_00040	2049	1899.03	194	2.6388
2767802316_GNJGOIBN_00041	2298	2148.03	87	1.0462
2767802316_GNJGOIBN_00042	76	10.5263	270.878	664.711
2767802316_GNJGOIBN_00043	76	10.5263	90.3395	221.685
2767802316_GNJGOIBN_00044	1560	1410.03	555	10.1672
2767802316_GNJGOIBN_00045	276	130.222	23	4.56226
2767802316_GNJGOIBN_00046	327	178.642	70	10.1216
2767802316_GNJGOIBN_00047	906	756.03	187	6.38908
2767802316_GNJGOIBN_00048	312	164.295	222	34.9031
2767802316_GNJGOIBN_00049	306	158.589	102	16.6136
2767802316_GNJGOIBN_00050	609	459.03	282	15.8688
2767802316_GNJGOIBN_00051	291	144.329	1892	338.613
2767802316_GNJGOIBN_00052	495	345.03	138	10.3314
2767802316_GNJGOIBN_00053	597	447.03	59	3.40919
2767802316_GNJGOIBN_00054	2994	2844.03	290	2.6339
2767802316_GNJGOIBN_00055	684	534.03	93	4.49835
2767802316_GNJGOIBN_00056	1917	1767.03	149.088	2.17938
2767802316_GNJGOIBN_00057	2862	2712.03	47	0.447651
2767802316_GNJGOIBN_00058	1152	1002.03	29	0.747572
2767802316_GNJGOIBN_00059	705	555.03	11	0.511932
2767802316_GNJGOIBN_00060	333	184.441	16	2.24078
2767802316_GNJGOIBN_00061	768	618.03	9	0.376157
2767802316_GNJGOIBN_00062	912	762.03	8	0.271178
2767802316_GNJGOIBN_00063	2598	2448.03	160.071	1.689
2767802316_GNJGOIBN_00064	450	300.03	15	1.2914
2767802316_GNJGOIBN_00065	1152	1002.03	20	0.515567
2767802316_GNJGOIBN_00066	1020	870.03	74	2.19702
2767802316_GNJGOIBN_00067	504	354.03	61	4.45067
2767802316_GNJGOIBN_00068	927	777.03	14	0.4654
2767802316_GNJGOIBN_00069	849	699.03	23	0.8499
2767802316_GNJGOIBN_00070	849	699.03	6	0.221713
2767802316_GNJGOIBN_00071	909	759.03	4	0.136125
2767802316_GNJGOIBN_00072	1329	1179.03	72	1.57741
2767802316_GNJGOIBN_00073	636	486.03	4	0.212585
2767802316_GNJGOIBN_00074	2154	2004.03	19	0.244898
2767802316_GNJGOIBN_00075	1257	1107.03	30	0.7
2767802316_GNJGOIBN_00076	1431	1281.03	26	0.524264
2767802316_GNJGOIBN_00077	1455	1305.03	27	0.534416
2767802316_GNJGOIBN_00078	1461	1311.03	18	0.354647
2767802316_GNJGOIBN_00079	1500	1350.03	32	0.612269
2767802316_GNJGOIBN_00080	348	199.037	15	1.94667
2767802316_GNJGOIBN_00081	396	246.244	23	2.41268
2767802316_GNJGOIBN_00082	438	288.06	27	2.42113
2767802316_GNJGOIBN_00083	1080	930.03	17	0.472159
2767802316_GNJGOIBN_00084	2025	1875.03	6	0.0826569
2767802316_GNJGOIBN_00085	1539	1389.03	6	0.111577
2767802316_GNJGOIBN_00086	1239	1089.03	4	0.0948759
2767802316_GNJGOIBN_00087	1200	1050.03	2	0.0491999
2767802316_GNJGOIBN_00088	966	816.03	19	0.601428
2767802316_GNJGOIBN_00089	1059	909.03	73	2.07434
2767802316_GNJGOIBN_00090	576	426.03	16	0.970098
2767802316_GNJGOIBN_00091	1071	921.03	20	0.560909
2767802316_GNJGOIBN_00092	1632	1482.03	112	1.95208
2767802316_GNJGOIBN_00093	177	48.0519	11	5.91314
2767802316_GNJGOIBN_00094	816	666.03	50	1.93915
2767802316_GNJGOIBN_00095	1326	1176.03	6	0.131786
2767802316_GNJGOIBN_00096	1395	1245.03	7	0.145229
2767802316_GNJGOIBN_00097	852	702.03	8	0.294354
2767802316_GNJGOIBN_00098	2055	1905.03	47	0.637283
2767802316_GNJGOIBN_00099	1182	1032.03	5	0.125145
2767802316_GNJGOIBN_00100	3171	3021.03	24	0.205207
2767802316_GNJGOIBN_00101	675	525.03	36.0572	1.77396
2767802316_GNJGOIBN_00102	2565	2415.03	16	0.171133
2767802316_GNJGOIBN_00103	651	501.03	99.547	5.13216
2767802316_GNJGOIBN_00104	1248	1098.03	56.3986	1.32675
