orthogroup,locus_tag,KO,Kannotation
OG0000004,NHBDKAOG_01297,K21023,diguanylate cyclase [EC:2.7.7.65] 
OG0000004,NHBDKAOG_01367,K21023,diguanylate cyclase [EC:2.7.7.65] 
OG0000004,NHBDKAOG_01576,K21023,diguanylate cyclase [EC:2.7.7.65] 
OG0000004,NHBDKAOG_01576,K02488,two-component system, cell cycle
OG0000004,NHBDKAOG_01582,K21023,diguanylate cyclase [EC:2.7.7.65] 
OG0000004,NHBDKAOG_01640,K21023,diguanylate cyclase [EC:2.7.7.65] 
OG0000004,NHBDKAOG_02641,K21023,diguanylate cyclase [EC:2.7.7.65] 
OG0000004,NHBDKAOG_03082,K21023,diguanylate cyclase [EC:2.7.7.65] 
OG0000004,NHBDKAOG_03828,K07216,hemerythrin   
OG0000004,NHBDKAOG_03874,K21023,diguanylate cyclase [EC:2.7.7.65] 
OG0000035,NHBDKAOG_01486,K01153,type I restriction enzyme,
OG0000035,NHBDKAOG_02275,K01153,type I restriction enzyme,
OG0000035,NHBDKAOG_02751,K01153,type I restriction enzyme,
OG0000035,NHBDKAOG_04376,K01153,type I restriction enzyme,
OG0000035,NHBDKAOG_04496,K01153,type I restriction enzyme,
OG0000103,NHBDKAOG_00034,K01154,type I restriction enzyme,
OG0000103,NHBDKAOG_02277,K01154,type I restriction enzyme,
OG0000103,NHBDKAOG_04285,K01154,type I restriction enzyme,
OG0000103,NHBDKAOG_04374,K01154,type I restriction enzyme,
OG0000308,NHBDKAOG_00769,K03406,methyl-accepting chemotaxis protein 
OG0000308,NHBDKAOG_01581,K03406,methyl-accepting chemotaxis protein 
OG0000308,NHBDKAOG_01581,K07216,hemerythrin   
OG0000308,NHBDKAOG_02102,K03406,methyl-accepting chemotaxis protein 
OG0000308,NHBDKAOG_02489,K03406,methyl-accepting chemotaxis protein 
OG0000308,NHBDKAOG_03024,K03406,methyl-accepting chemotaxis protein 
OG0000308,NHBDKAOG_03083,K03406,methyl-accepting chemotaxis protein 
OG0000600,NHBDKAOG_00026,K07486,transposase   
OG0000601,NHBDKAOG_00203,K01406,serralysin [EC:3.4.24.40]  
