Orthogroup	2506520024	2687453699	2767802316	2767802455	644736333	GCA_000310125.2	GCA_003332265.1	Reactor4-bin.4	spades-bin.32
OG0000000	2506669364, 2506669459, 2506669499, 2506669502, 2506669534, 2506669830, 2506669839, 2506669851, 2506669921, 2506669952, 2506669956, 2506670103, 2506670288, 2506670365, 2506670500, 2506670515, 2506670543, 2506670612, 2506670695, 2506670717, 2506670747, 2506670793, 2506670816, 2506670856, 2506670964, 2506671112, 2506671271, 2506671368, 2506671369, 2506671409, 2506671552, 2506671670, 2506671674, 2506671840, 2506671991, 2506672076, 2506672081, 2506672246, 2506672515	PEBOPBNB_00160, PEBOPBNB_00161, PEBOPBNB_00340, PEBOPBNB_03032, PEBOPBNB_03180, PEBOPBNB_03436	GNJGOIBN_01089, GNJGOIBN_02038, GNJGOIBN_02184, GNJGOIBN_02552, GNJGOIBN_02784, GNJGOIBN_02807, GNJGOIBN_03238, GNJGOIBN_03738	NHBDKAOG_00175, NHBDKAOG_00465, NHBDKAOG_00493, NHBDKAOG_00494, NHBDKAOG_01300, NHBDKAOG_01578, NHBDKAOG_01585, NHBDKAOG_01589, NHBDKAOG_01839, NHBDKAOG_03134, NHBDKAOG_03221, NHBDKAOG_03814, NHBDKAOG_04601, NHBDKAOG_04602, NHBDKAOG_04604, NHBDKAOG_04606, NHBDKAOG_04710, NHBDKAOG_04722	MCBBHCNB_01367, MCBBHCNB_02488, MCBBHCNB_03051, MCBBHCNB_03074, MCBBHCNB_03120, MCBBHCNB_03514, MCBBHCNB_04024	lcl|AMXB01000002.1_prot_ENO82916.1_176, lcl|AMXB01000006.1_prot_ENO82213.1_817, lcl|AMXB01000009.1_prot_ENO81770.1_1261, lcl|AMXB01000013.1_prot_ENO81282.1_1820, lcl|AMXB01000032.1_prot_ENO77225.1_3159, lcl|AMXB01000040.1_prot_ENO76352.1_3557, lcl|AMXB01000044.1_prot_ENO76101.1_3704, lcl|AMXB01000057.1_prot_ENO75276.1_3996, lcl|AMXB01000059.1_prot_ENO75197.1_4017	BFLDHLJO_00050	CEKMHFBL_00104, CEKMHFBL_00934, CEKMHFBL_01092, CEKMHFBL_01560, CEKMHFBL_01587, CEKMHFBL_02338, CEKMHFBL_02342, CEKMHFBL_02343, CEKMHFBL_02506, CEKMHFBL_02518	BBLLADNB_00941, BBLLADNB_01430, BBLLADNB_01887, BBLLADNB_01888, BBLLADNB_02136, BBLLADNB_03206, BBLLADNB_03358
OG0000001	2506669501, 2506669507, 2506669918, 2506670514, 2506670806, 2506670814, 2506670855, 2506671597, 2506671699, 2506671717, 2506671842, 2506672049, 2506672714	PEBOPBNB_00339, PEBOPBNB_02650, PEBOPBNB_03030	GNJGOIBN_02617, GNJGOIBN_02623, GNJGOIBN_02783	NHBDKAOG_01601, NHBDKAOG_04607, NHBDKAOG_04715	MCBBHCNB_00167, MCBBHCNB_00185, MCBBHCNB_02886, MCBBHCNB_03050	lcl|AMXB01000006.1_prot_ENO82310.1_914, lcl|AMXB01000006.1_prot_ENO82315.1_919, lcl|AMXB01000009.1_prot_ENO81772.1_1263, lcl|AMXB01000034.1_prot_ENO77039.1_3274	BFLDHLJO_00051, BFLDHLJO_00653, BFLDHLJO_03206	CEKMHFBL_00603, CEKMHFBL_02659	BBLLADNB_01431, BBLLADNB_03360, BBLLADNB_03667
OG0000002						lcl|AMXB01000001.1_prot_ENO83171.1_44, lcl|AMXB01000001.1_prot_ENO83199.1_72, lcl|AMXB01000001.1_prot_ENO83207.1_80, lcl|AMXB01000001.1_prot_ENO83222.1_95, lcl|AMXB01000001.1_prot_ENO83258.1_131, lcl|AMXB01000002.1_prot_ENO82915.1_175, lcl|AMXB01000003.1_prot_ENO82791.1_433, lcl|AMXB01000003.1_prot_ENO82849.1_491, lcl|AMXB01000003.1_prot_ENO82873.1_515, lcl|AMXB01000004.1_prot_ENO82685.1_644, lcl|AMXB01000005.1_prot_ENO82462.1_757, lcl|AMXB01000005.1_prot_ENO82481.1_776, lcl|AMXB01000007.1_prot_ENO82186.1_1105, lcl|AMXB01000008.1_prot_ENO81907.1_1135, lcl|AMXB01000009.1_prot_ENO81786.1_1277, lcl|AMXB01000009.1_prot_ENO81796.1_1287, lcl|AMXB01000009.1_prot_ENO81855.1_1346, lcl|AMXB01000011.1_prot_ENO81501.1_1557, lcl|AMXB01000012.1_prot_ENO81356.1_1659, lcl|AMXB01000013.1_prot_ENO81241.1_1779, lcl|AMXB01000018.1_prot_ENO80711.1_2269, lcl|AMXB01000018.1_prot_ENO80732.1_2290, lcl|AMXB01000019.1_prot_ENO80638.1_2356, lcl|AMXB01000019.1_prot_ENO80642.1_2360, lcl|AMXB01000027.1_prot_ENO78224.1_2860, lcl|AMXB01000027.1_prot_ENO78236.1_2872, lcl|AMXB01000028.1_prot_ENO77988.1_2936, lcl|AMXB01000029.1_prot_ENO77747.1_3004, lcl|AMXB01000032.1_prot_ENO77285.1_3219, lcl|AMXB01000044.1_prot_ENO76080.1_3683, lcl|AMXB01000044.1_prot_ENO76102.1_3705, lcl|AMXB01000052.1_prot_ENO75504.1_3895, lcl|AMXB01000053.1_prot_ENO75478.1_3920, lcl|AMXB01000059.1_prot_ENO75193.1_4013, lcl|AMXB01000065.1_prot_ENO74952.1_4089, lcl|AMXB01000074.1_prot_ENO74680.1_4195			
OG0000003	2506669411, 2506669575, 2506669750, 2506669899, 2506669958, 2506670198, 2506670201, 2506670204, 2506670217, 2506670308, 2506670353, 2506670602, 2506670647, 2506670812, 2506670873, 2506671216, 2506671347, 2506671448, 2506671671, 2506671675, 2506671766, 2506671829, 2506671955, 2506671975, 2506672026, 2506672032, 2506672109, 2506672168		GNJGOIBN_02279		MCBBHCNB_02579	lcl|AMXB01000023.1_prot_ENO79296.1_2604	BFLDHLJO_03582		BBLLADNB_02283
OG0000004			GNJGOIBN_02570, GNJGOIBN_03237, GNJGOIBN_03954, GNJGOIBN_04077	NHBDKAOG_00060, NHBDKAOG_01297, NHBDKAOG_01367, NHBDKAOG_01576, NHBDKAOG_01582, NHBDKAOG_01640, NHBDKAOG_02051, NHBDKAOG_02546, NHBDKAOG_02584, NHBDKAOG_02607, NHBDKAOG_02641, NHBDKAOG_03082, NHBDKAOG_03813, NHBDKAOG_03828, NHBDKAOG_03874, NHBDKAOG_04599, NHBDKAOG_04610	MCBBHCNB_02840, MCBBHCNB_03513, MCBBHCNB_04231, MCBBHCNB_04340		BFLDHLJO_00212, BFLDHLJO_01632, BFLDHLJO_02600, BFLDHLJO_02874, BFLDHLJO_04117, BFLDHLJO_04176	CEKMHFBL_01768, CEKMHFBL_02642	
OG0000005		PEBOPBNB_00162, PEBOPBNB_00692, PEBOPBNB_01526, PEBOPBNB_02063, PEBOPBNB_02517, PEBOPBNB_02673, PEBOPBNB_02709, PEBOPBNB_03181, PEBOPBNB_03330, PEBOPBNB_03354, PEBOPBNB_03435	GNJGOIBN_01591, GNJGOIBN_02136, GNJGOIBN_02808	NHBDKAOG_00123, NHBDKAOG_01584	MCBBHCNB_01897, MCBBHCNB_02440, MCBBHCNB_03075		BFLDHLJO_02786, BFLDHLJO_03557	CEKMHFBL_02232, CEKMHFBL_02337, CEKMHFBL_02344	BBLLADNB_00354, BBLLADNB_00440, BBLLADNB_01889, BBLLADNB_02134, BBLLADNB_02838, BBLLADNB_03049, BBLLADNB_03261, BBLLADNB_03375
OG0000006		PEBOPBNB_03770		NHBDKAOG_02948, NHBDKAOG_02952, NHBDKAOG_04184	MCBBHCNB_00079, MCBBHCNB_00179, MCBBHCNB_00335, MCBBHCNB_00430, MCBBHCNB_01137, MCBBHCNB_01180, MCBBHCNB_01549, MCBBHCNB_01608, MCBBHCNB_01703, MCBBHCNB_01938, MCBBHCNB_02043, MCBBHCNB_02079, MCBBHCNB_02180, MCBBHCNB_02356, MCBBHCNB_02562, MCBBHCNB_03027, MCBBHCNB_03666, MCBBHCNB_04374, MCBBHCNB_04563, MCBBHCNB_04567, MCBBHCNB_04694		BFLDHLJO_02095, BFLDHLJO_02362, BFLDHLJO_02363, BFLDHLJO_02364		BBLLADNB_03015, BBLLADNB_03729
OG0000007	2506670296, 2506670300, 2506670952, 2506671567, 2506671603, 2506672436	PEBOPBNB_00294, PEBOPBNB_02536	GNJGOIBN_01682, GNJGOIBN_02413, GNJGOIBN_03861	NHBDKAOG_00803, NHBDKAOG_02350, NHBDKAOG_02492	MCBBHCNB_01993, MCBBHCNB_02703, MCBBHCNB_04138	lcl|AMXB01000001.1_prot_ENO83277.1_150, lcl|AMXB01000004.1_prot_ENO82670.1_629, lcl|AMXB01000010.1_prot_ENO81610.1_1378, lcl|AMXB01000032.1_prot_ENO77271.1_3205, lcl|AMXB01000044.1_prot_ENO76093.1_3696	BFLDHLJO_00097, BFLDHLJO_00811, BFLDHLJO_02740, BFLDHLJO_02882	CEKMHFBL_00819, CEKMHFBL_01033	BBLLADNB_02048, BBLLADNB_02365
OG0000008	2506670553	PEBOPBNB_01610, PEBOPBNB_02959, PEBOPBNB_03288	GNJGOIBN_01073, GNJGOIBN_01777, GNJGOIBN_02907, GNJGOIBN_03946, GNJGOIBN_04243	NHBDKAOG_01553, NHBDKAOG_03164, NHBDKAOG_03567, NHBDKAOG_03792	MCBBHCNB_01351, MCBBHCNB_02100, MCBBHCNB_03177, MCBBHCNB_04223, MCBBHCNB_04528	lcl|AMXB01000009.1_prot_ENO81800.1_1291	BFLDHLJO_02400, BFLDHLJO_02897, BFLDHLJO_02956, BFLDHLJO_03410	CEKMHFBL_02387, CEKMHFBL_03345, CEKMHFBL_03645, CEKMHFBL_03667	BBLLADNB_00820, BBLLADNB_01965, BBLLADNB_02916
OG0000009	2506669865, 2506671496	PEBOPBNB_00020, PEBOPBNB_00532, PEBOPBNB_00533, PEBOPBNB_02507, PEBOPBNB_03557	GNJGOIBN_00092, GNJGOIBN_00841, GNJGOIBN_01325, GNJGOIBN_03297	NHBDKAOG_01970	MCBBHCNB_00321, MCBBHCNB_01107, MCBBHCNB_01611, MCBBHCNB_03579	lcl|AMXB01000004.1_prot_ENO82573.1_532, lcl|AMXB01000031.1_prot_ENO77392.1_3126		CEKMHFBL_00035, CEKMHFBL_01326, CEKMHFBL_01332, CEKMHFBL_02138, CEKMHFBL_04174	BBLLADNB_00222, BBLLADNB_00363, BBLLADNB_00634, BBLLADNB_00750
