locus_tag	ftype	length_bp	gene	EC_number	COG	product
NHBDKAOG_00001	CDS	663				hypothetical protein
NHBDKAOG_00001	gene	663				
NHBDKAOG_00002	CDS	1308				hypothetical protein
NHBDKAOG_00002	gene	1308				
NHBDKAOG_00003	CDS	279	higB	3.1.-.-		Endoribonuclease HigB
NHBDKAOG_00003	gene	279	higB			
NHBDKAOG_00004	CDS	288	yddM_1		COG3093	putative HTH-type transcriptional regulator YddM
NHBDKAOG_00004	gene	288	yddM_1			
NHBDKAOG_00005	CDS	1215				hypothetical protein
NHBDKAOG_00005	gene	1215				
NHBDKAOG_00006	CDS	198				hypothetical protein
NHBDKAOG_00006	gene	198				
NHBDKAOG_00007	CDS	342				hypothetical protein
NHBDKAOG_00007	gene	342				
NHBDKAOG_00008	CDS	144				hypothetical protein
NHBDKAOG_00008	gene	144				
NHBDKAOG_00009	CDS	2004				hypothetical protein
NHBDKAOG_00009	gene	2004				
NHBDKAOG_00010	CDS	531				hypothetical protein
NHBDKAOG_00010	gene	531				
NHBDKAOG_00011	CDS	1230				hypothetical protein
NHBDKAOG_00011	gene	1230				
NHBDKAOG_00012	CDS	1260	intA_1		COG0582	Prophage integrase IntA
NHBDKAOG_00012	gene	1260	intA_1			
NHBDKAOG_00013	CDS	1137			COG3177	putative protein
NHBDKAOG_00013	gene	1137				
NHBDKAOG_00014	CDS	261				hypothetical protein
NHBDKAOG_00014	gene	261				
NHBDKAOG_00015	CDS	327				hypothetical protein
NHBDKAOG_00015	gene	327				
NHBDKAOG_00016	CDS	438				hypothetical protein
NHBDKAOG_00016	gene	438				
NHBDKAOG_00017	CDS	708				hypothetical protein
NHBDKAOG_00017	gene	708				
NHBDKAOG_00018	CDS	255				hypothetical protein
NHBDKAOG_00018	gene	255				
NHBDKAOG_00019	CDS	534				hypothetical protein
NHBDKAOG_00019	gene	534				
NHBDKAOG_00020	CDS	303				hypothetical protein
NHBDKAOG_00020	gene	303				
NHBDKAOG_00021	CDS	270				hypothetical protein
NHBDKAOG_00021	gene	270				
NHBDKAOG_00022	CDS	237				hypothetical protein
NHBDKAOG_00022	gene	237				
NHBDKAOG_00023	CDS	2985				hypothetical protein
NHBDKAOG_00023	gene	2985				
NHBDKAOG_00024	CDS	564				hypothetical protein
NHBDKAOG_00024	gene	564				
NHBDKAOG_00025	CDS	381				hypothetical protein
NHBDKAOG_00025	gene	381				
NHBDKAOG_00026	CDS	897				hypothetical protein
NHBDKAOG_00026	gene	897				
NHBDKAOG_00027	CDS	207				hypothetical protein
NHBDKAOG_00027	gene	207				
NHBDKAOG_00028	CDS	612				hypothetical protein
NHBDKAOG_00028	gene	612				
