Orthogroup	Duplications (all)	Duplications (50% support)
OG0000000	53	28
OG0000001	13	7
OG0000002	35	35
OG0000003	27	27
OG0000004	19	14
OG0000005	10	8
OG0000006	22	20
OG0000007	6	4
OG0000008	5	2
OG0000009	7	3
OG0000010	9	8
OG0000011	10	10
OG0000012	7	3
OG0000013	18	18
OG0000014	9	6
OG0000015	20	20
OG0000016	19	18
OG0000017	11	9
OG0000018	4	3
OG0000019	9	4
OG0000020	6	2
OG0000021	7	2
OG0000022	7	1
OG0000023	10	6
OG0000024	7	4
OG0000025	5	4
OG0000026	4	3
OG0000027	3	3
OG0000028	5	1
OG0000029	13	12
OG0000030	6	4
OG0000031	5	4
OG0000032	11	9
OG0000033	3	2
OG0000034	12	9
OG0000035	12	5
OG0000036	1	1
OG0000037	3	3
OG0000038	4	3
OG0000039	4	3
OG0000040	13	12
OG0000041	6	4
OG0000042	1	1
OG0000043	2	2
OG0000044	2	1
OG0000045	4	3
OG0000046	2	1
OG0000047	7	6
OG0000048	15	15
OG0000049	6	4
OG0000050	6	4
OG0000051	3	1
OG0000052	3	2
OG0000053	7	1
OG0000054	3	3
OG0000055	12	10
OG0000056	12	6
OG0000057	2	1
OG0000058	2	2
OG0000059	2	1
OG0000060	4	2
OG0000061	6	3
OG0000062	1	1
OG0000063	2	1
OG0000064	4	3
OG0000065	4	1
OG0000066	6	5
OG0000067	4	3
OG0000068	8	6
OG0000069	10	7
OG0000070	3	0
OG0000071	4	2
OG0000072	6	6
OG0000073	4	1
OG0000074	2	2
OG0000075	1	1
OG0000076	3	2
OG0000077	3	1
OG0000078	7	3
OG0000079	1	1
OG0000080	9	7
OG0000081	4	2
OG0000082	7	7
OG0000083	1	1
OG0000084	2	2
OG0000085	4	4
OG0000086	4	0
OG0000087	1	1
OG0000088	4	2
OG0000089	3	2
OG0000090	2	2
OG0000091	6	6
OG0000092	5	4
OG0000093	2	2
OG0000094	3	1
OG0000095	4	1
OG0000096	5	0
OG0000097	5	3
OG0000098	4	3
OG0000099	2	2
OG0000100	2	2
OG0000101	4	3
OG0000102	8	7
OG0000103	6	3
OG0000104	5	2
OG0000105	2	0
OG0000106	6	1
OG0000107	4	3
OG0000108	3	2
OG0000109	2	2
OG0000110	5	5
OG0000111	4	3
OG0000112	4	4
OG0000113	7	7
OG0000114	3	2
OG0000115	1	1
OG0000116	3	2
OG0000117	2	0
OG0000118	2	1
OG0000119	2	0
OG0000120	1	1
OG0000121	1	1
OG0000122	3	2
OG0000123	7	7
OG0000124	7	7
OG0000125	2	0
OG0000126	1	1
OG0000127	5	2
OG0000128	4	1
OG0000129	7	5
OG0000130	2	1
OG0000131	5	3
OG0000132	7	5
OG0000133	6	5
OG0000134	6	4
OG0000135	8	7
OG0000136	2	1
OG0000137	3	0
OG0000138	8	6
OG0000139	3	3
OG0000140	2	1
OG0000141	4	4
OG0000142	4	3
OG0000143	2	1
OG0000144	5	5
OG0000145	2	0
OG0000146	3	3
OG0000147	2	1
OG0000148	4	2
OG0000149	1	1
OG0000150	3	2
OG0000151	5	0
OG0000152	2	0
OG0000153	1	1
OG0000154	1	1
OG0000155	4	4
OG0000156	3	2
OG0000157	3	1
OG0000158	5	3
OG0000159	3	1
OG0000160	4	4
OG0000161	7	6
OG0000162	2	1
OG0000163	5	5
OG0000164	4	1
OG0000165	9	9
OG0000166	3	0
OG0000167	6	3
OG0000168	2	0
OG0000169	2	1
OG0000170	2	0
OG0000171	2	1
OG0000172	2	0
OG0000173	2	2
OG0000174	2	2
OG0000175	3	3
OG0000176	2	1
OG0000177	1	0
OG0000178	3	3
OG0000179	1	0
OG0000180	2	1
OG0000181	2	1
OG0000182	3	2
OG0000183	3	3
OG0000184	3	2
OG0000185	2	0
OG0000186	1	0
OG0000187	2	1
OG0000188	2	1
OG0000189	3	2
OG0000190	1	0
OG0000191	4	2
OG0000192	2	0
OG0000193	9	9
OG0000194	1	0
OG0000195	1	1
OG0000196	2	2
OG0000197	2	0
OG0000198	2	1
OG0000199	1	1
OG0000200	2	1
OG0000201	2	1
OG0000202	2	0
OG0000203	3	2
OG0000204	3	1
OG0000205	1	0
OG0000206	2	1
OG0000207	1	1
OG0000208	3	3
OG0000209	3	2
OG0000210	5	5
OG0000211	4	4
OG0000212	3	1
OG0000213	3	1
OG0000214	2	2
OG0000215	1	1
OG0000216	2	1
OG0000217	1	0
OG0000218	2	2
OG0000219	5	5
OG0000220	2	1
OG0000221	2	2
OG0000222	3	3
OG0000223	2	2
OG0000224	1	0
OG0000225	2	1
OG0000226	2	1
OG0000227	5	4
OG0000228	2	2
OG0000229	1	0
OG0000230	3	3
OG0000231	2	2
OG0000232	1	1
OG0000233	2	0
OG0000234	2	1
OG0000235	2	0
OG0000236	1	0
OG0000237	2	1
OG0000238	2	1
OG0000239	2	2
OG0000240	2	2
OG0000241	1	0
OG0000242	3	1
OG0000243	2	1
OG0000244	1	0
OG0000245	2	1
OG0000246	3	2
OG0000247	2	1
OG0000248	2	2
OG0000249	1	1
OG0000250	1	1
OG0000251	1	0
OG0000252	2	2
OG0000253	1	1
OG0000254	2	2
OG0000255	1	1
OG0000256	2	2
OG0000257	2	1
OG0000258	3	0
OG0000259	2	1
OG0000260	1	0
OG0000261	1	0
OG0000262	3	3
OG0000263	2	2
OG0000264	1	0
OG0000265	1	0
OG0000266	1	1
OG0000267	2	1
OG0000268	2	1
OG0000269	1	1
OG0000270	2	1
OG0000271	2	1
OG0000272	1	0
OG0000273	2	2
OG0000274	2	2
OG0000275	1	0
OG0000276	1	0
OG0000277	1	0
OG0000278	2	2
OG0000279	2	1
OG0000280	3	1
OG0000281	2	0
OG0000282	2	1
OG0000283	2	2
OG0000284	1	0
OG0000285	1	0
OG0000286	3	3
OG0000287	2	0
OG0000288	5	4
OG0000289	4	3
OG0000290	1	1
OG0000291	2	1
OG0000292	2	1
OG0000293	4	4
OG0000294	1	1
OG0000295	3	3
OG0000296	2	0
OG0000297	2	1
OG0000298	1	1
OG0000299	1	1
OG0000300	4	2
OG0000301	1	0
OG0000302	3	3
OG0000303	4	1
OG0000304	6	6
OG0000305	4	1
OG0000306	3	0
OG0000307	5	5
OG0000308	6	5
OG0000309	5	5
OG0000310	10	10
OG0000311	1	0
OG0000312	1	0
OG0000313	1	0
OG0000314	1	0
OG0000315	3	2
OG0000316	1	0
OG0000317	1	1
OG0000318	1	1
OG0000319	1	1
OG0000320	2	2
OG0000321	1	0
OG0000322	1	0
OG0000323	1	0
OG0000324	1	0
OG0000325	6	5
OG0000326	1	1
OG0000327	1	1
OG0000328	0	0
OG0000329	1	1
OG0000330	1	0
OG0000331	1	1
OG0000332	1	1
OG0000333	1	0
OG0000334	1	0
OG0000335	1	1
OG0000336	1	1
OG0000337	1	1
OG0000338	1	1
OG0000339	1	0
OG0000340	1	1
OG0000341	1	1
OG0000342	2	1
OG0000343	1	1
OG0000344	0	0
OG0000345	1	1
OG0000346	1	1
OG0000347	1	1
OG0000348	1	0
OG0000349	1	0
OG0000350	1	1
OG0000351	1	1
OG0000352	1	1
OG0000353	1	1
OG0000354	1	1
OG0000355	1	1
OG0000356	2	1
OG0000357	2	1
OG0000358	1	1
OG0000359	2	0
OG0000360	1	1
OG0000361	1	1
OG0000362	1	1
OG0000363	1	0
OG0000364	1	0
OG0000365	1	1
OG0000366	1	0
OG0000367	1	1
OG0000368	1	1
OG0000369	1	1
OG0000370	1	1
OG0000371	2	2
OG0000372	1	0
OG0000373	0	0
OG0000374	1	1
OG0000375	1	1
OG0000376	1	1
OG0000377	1	1
OG0000378	1	1
OG0000379	1	1
OG0000380	1	1
OG0000381	1	0
OG0000382	1	0
OG0000383	1	0
OG0000384	0	0
OG0000385	1	1
OG0000386	1	1
OG0000387	1	1
OG0000388	1	1
OG0000389	1	1
OG0000390	1	1
OG0000391	1	1
OG0000392	1	0
OG0000393	5	5
OG0000394	1	0
OG0000395	1	0
OG0000396	1	1
OG0000397	1	0
OG0000398	1	0
OG0000399	1	1
OG0000400	1	1
OG0000401	1	0
OG0000402	1	0
OG0000403	1	1
