#START	STOP	FRAME	CONTIG	SCORE
1615	2	-	Ga0248264_11:4855508-5153816	-229617.3730082632346978226022
2294	1680	-	Ga0248264_11:4855508-5153816	-199.3881433862143350715276760
2319	2501	+	Ga0248264_11:4855508-5153816	-3.458434553967920422819551467
2498	2587	+	Ga0248264_11:4855508-5153816	-1.213251711934131756171052540
2665	4095	+	Ga0248264_11:4855508-5153816	-213196.7954517749772082878445
4165	4872	+	Ga0248264_11:4855508-5153816	-12.83124202563390693835129618
5470	4973	-	Ga0248264_11:4855508-5153816	-81.83905687841342750117357501
5589	5467	-	Ga0248264_11:4855508-5153816	-0.1857583036909223325926806680
5694	5602	-	Ga0248264_11:4855508-5153816	-1.242572522729552746942985230
5885	5697	-	Ga0248264_11:4855508-5153816	-14.13095414351244307552761399
6004	5882	-	Ga0248264_11:4855508-5153816	-1.945903104020421380046674924
6691	6110	-	Ga0248264_11:4855508-5153816	-569.5696728224276352209231788
6813	6694	-	Ga0248264_11:4855508-5153816	-0.1987182276261360184939339331
6868	7224	+	Ga0248264_11:4855508-5153816	-6.322808565120238038796789240
7286	9445	+	Ga0248264_11:4855508-5153816	-598607179.6107658113969761235
9489	10037	+	Ga0248264_11:4855508-5153816	-260.8086115332087903263209666
10052	13801	+	Ga0248264_11:4855508-5153816	-126710733378308.6541123703888
13798	17724	+	Ga0248264_11:4855508-5153816	-7125693047942.982899224564832
17715	18572	+	Ga0248264_11:4855508-5153816	-2464.000067762148383267608360
18569	20809	+	Ga0248264_11:4855508-5153816	-59861292.11589178238179974077
20806	21885	+	Ga0248264_11:4855508-5153816	-1052.011925264414639571371571
21863	25009	+	Ga0248264_11:4855508-5153816	-53421267230.18582820695866868
25006	26172	+	Ga0248264_11:4855508-5153816	-13039.83998119291431635534290
26232	27350	+	Ga0248264_11:4855508-5153816	-4401.726696913179849035029448
27359	28192	+	Ga0248264_11:4855508-5153816	-1068.611777301512727846237082
30939	28225	-	Ga0248264_11:4855508-5153816	-12189246325.22783247475710543
31745	30936	-	Ga0248264_11:4855508-5153816	-1279.119675582160519874275147
31760	31909	+	Ga0248264_11:4855508-5153816	-2.224925430758412708754270227
31887	32048	+	Ga0248264_11:4855508-5153816	-2.867304503841907448294089096
32020	32388	+	Ga0248264_11:4855508-5153816	-54.50808645343974773183942724
32398	33852	+	Ga0248264_11:4855508-5153816	-587.3517039983575149990986907
33980	35815	+	Ga0248264_11:4855508-5153816	-15959.32033409019948298598454
35812	36963	+	Ga0248264_11:4855508-5153816	-589.5075498925728127106634028
37739	36969	-	Ga0248264_11:4855508-5153816	-151.1672197696165427552376482
38641	37736	-	Ga0248264_11:4855508-5153816	-929.5409653450051301380091259
40058	38655	-	Ga0248264_11:4855508-5153816	-165435.7973624482221067544551
40685	40122	-	Ga0248264_11:4855508-5153816	-11.13223854491694205591567772
40822	40682	-	Ga0248264_11:4855508-5153816	-1.709316713582491585288300639
40840	41733	+	Ga0248264_11:4855508-5153816	-495.6663473971339916088736740
41768	42055	+	Ga0248264_11:4855508-5153816	-5.338452507211100460707465349
42091	42366	+	Ga0248264_11:4855508-5153816	-6.252232875066109268098314501
42492	42662	+	Ga0248264_11:4855508-5153816	-2.451217202300596789855232790
42679	43533	+	Ga0248264_11:4855508-5153816	-1643.949290480450814848393080
43894	43634	-	Ga0248264_11:4855508-5153816	-0.4238520078891878592464768283
44310	43894	-	Ga0248264_11:4855508-5153816	-19.13960013427375116236369406
44537	44310	-	Ga0248264_11:4855508-5153816	-11.82680408374468403019938100
44913	44698	-	Ga0248264_11:4855508-5153816	-2.108908127548889648199523263
45188	44916	-	Ga0248264_11:4855508-5153816	-0.1698319241414533306479432084
45788	45252	-	Ga0248264_11:4855508-5153816	-71.31115874570304800657765063
46288	45785	-	Ga0248264_11:4855508-5153816	-50.40268710213794111784876814
46482	46285	-	Ga0248264_11:4855508-5153816	-6.504718148769204642195888483
46454	47683	+	Ga0248264_11:4855508-5153816	-51784.38532774580276641057616
47680	48462	+	Ga0248264_11:4855508-5153816	-756.7488205551612369812595861
48347	49750	+	Ga0248264_11:4855508-5153816	-26199.59146790555906793438674
49747	50901	+	Ga0248264_11:4855508-5153816	-33054.94376363519275351614464
50898	52160	+	Ga0248264_11:4855508-5153816	-42647.35788251855625069919664
52162	52353	+	Ga0248264_11:4855508-5153816	-0.2132423810136519069948888920
52343	52504	+	Ga0248264_11:4855508-5153816	-1.350923140966431533260025148
52704	52865	+	Ga0248264_11:4855508-5153816	-12.70683155817962751783264277
52858	52953	+	Ga0248264_11:4855508-5153816	-0.05520903922404226013079705104
55911	53014	-	Ga0248264_11:4855508-5153816	-1434450221.741403119189327336
56189	56055	-	Ga0248264_11:4855508-5153816	-1.532572168189193878290667841
56513	56190	-	Ga0248264_11:4855508-5153816	-0.8994870983106261520554025394
56773	56591	-	Ga0248264_11:4855508-5153816	-0.06308184225273542858790064429
56965	56867	-	Ga0248264_11:4855508-5153816	-1.740030651536816937824688301
57792	56965	-	Ga0248264_11:4855508-5153816	-45.86797624116503007363563839
58752	57877	-	Ga0248264_11:4855508-5153816	-113.1811068608472718124651755
58809	59138	+	Ga0248264_11:4855508-5153816	-13.65227721474407934893467580
59193	59504	+	Ga0248264_11:4855508-5153816	-4.941945603893794571813620775
59535	59927	+	Ga0248264_11:4855508-5153816	-64.00565503141395812883356016
59948	60514	+	Ga0248264_11:4855508-5153816	-84.75053106708192661473535323
60774	60463	-	Ga0248264_11:4855508-5153816	-9.356310722725745416423545721
61199	60789	-	Ga0248264_11:4855508-5153816	-6.787422202433105495115436035
61798	61193	-	Ga0248264_11:4855508-5153816	-14.68907671083858896554361066
62124	61828	-	Ga0248264_11:4855508-5153816	-0.4586701285396594840901190782
63530	62307	-	Ga0248264_11:4855508-5153816	-12899.50532697710279154881147
63748	63530	-	Ga0248264_11:4855508-5153816	-2.400738615913153810152253436
63899	63807	-	Ga0248264_11:4855508-5153816	-2.152436958624060011982715463
64681	63878	-	Ga0248264_11:4855508-5153816	-4162.954462077190515179552461
65092	64793	-	Ga0248264_11:4855508-5153816	-4.258180601620878144709483668
65259	65164	-	Ga0248264_11:4855508-5153816	-1.368662930481013201565347685
65756	65256	-	Ga0248264_11:4855508-5153816	-2.201127736415503343356279829
66270	65830	-	Ga0248264_11:4855508-5153816	-5.282313974069590839408610908
66398	66261	-	Ga0248264_11:4855508-5153816	-0.1240120948974635483782696210
66437	67282	+	Ga0248264_11:4855508-5153816	-244.6242554489066843372662114
67279	68130	+	Ga0248264_11:4855508-5153816	-39.74045105514792773957139057
68229	68570	+	Ga0248264_11:4855508-5153816	-2.667745189989213790247748150
68601	68699	+	Ga0248264_11:4855508-5153816	-3.152644557336365371088234271
68831	68986	+	Ga0248264_11:4855508-5153816	-0.1568022653092985238018974374
68998	69099	+	Ga0248264_11:4855508-5153816	-0.1906564433014966525766686566
69133	69222	+	Ga0248264_11:4855508-5153816	-1.385502376318144801497918986
69247	69480	+	Ga0248264_11:4855508-5153816	-9.145118967551477313565866053
69557	69462	-	Ga0248264_11:4855508-5153816	-1.460146591707312085411172748
