Orthogroup,UW4
OG0000005,BBLLADNB_00354
OG0000005,BBLLADNB_00440
OG0000005,BBLLADNB_01889
OG0000005,BBLLADNB_02134
OG0000005,BBLLADNB_02838
OG0000005,BBLLADNB_03049
OG0000005,BBLLADNB_03261
OG0000005,BBLLADNB_03375
OG0000006,BBLLADNB_03015
OG0000006,BBLLADNB_03729
OG0000016,BBLLADNB_03016
OG0000016,BBLLADNB_03017
OG0000019,BBLLADNB_01031
OG0000029,BBLLADNB_00560
OG0000041,BBLLADNB_01612
OG0000048,BBLLADNB_03014
OG0000053,BBLLADNB_01069
OG0000054,BBLLADNB_00357
OG0000054,BBLLADNB_00370
OG0000054,BBLLADNB_01519
OG0000055,BBLLADNB_03876
OG0000055,BBLLADNB_03877
OG0000056,BBLLADNB_02172
OG0000065,BBLLADNB_00863
OG0000065,BBLLADNB_02912
OG0000065,BBLLADNB_03516
OG0000066,BBLLADNB_01070
OG0000082,BBLLADNB_01043
OG0000082,BBLLADNB_01102
OG0000082,BBLLADNB_01448
OG0000098,BBLLADNB_01440
OG0000098,BBLLADNB_01591
OG0000098,BBLLADNB_02037
OG0000098,BBLLADNB_03088
OG0000099,BBLLADNB_00371
OG0000099,BBLLADNB_01516
OG0000101,BBLLADNB_02965
OG0000129,BBLLADNB_01442
OG0000132,BBLLADNB_03103
OG0000161,BBLLADNB_01337
OG0000161,BBLLADNB_02050
OG0000208,BBLLADNB_01000
OG0000208,BBLLADNB_01763
OG0000287,BBLLADNB_01586
OG0000287,BBLLADNB_02998
OG0000288,BBLLADNB_00627
OG0000291,BBLLADNB_01394
OG0000294,BBLLADNB_00450
OG0000294,BBLLADNB_01629
OG0000297,BBLLADNB_01378
OG0000302,BBLLADNB_02572
OG0000304,BBLLADNB_02058
OG0000304,BBLLADNB_03612
OG0000580,BBLLADNB_00418
OG0000583,BBLLADNB_00519
OG0000583,BBLLADNB_01390
OG0000590,BBLLADNB_01135
OG0000590,BBLLADNB_01721
OG0000593,BBLLADNB_01343
OG0000596,BBLLADNB_03416
OG0001596,BBLLADNB_01051
OG0001596,BBLLADNB_03292
OG0001596,BBLLADNB_03517
OG0001600,BBLLADNB_03279
OG0001607,BBLLADNB_01148
OG0001618,BBLLADNB_01632
OG0001626,BBLLADNB_02450
OG0001626,BBLLADNB_02685
OG0001627,BBLLADNB_02014
OG0001628,BBLLADNB_00975
OG0001631,BBLLADNB_00251
OG0001631,BBLLADNB_00295
OG0001633,BBLLADNB_02423
OG0001633,BBLLADNB_03897
OG0001638,BBLLADNB_02464
OG0001642,BBLLADNB_00188
OG0001642,BBLLADNB_02069
OG0001643,BBLLADNB_03914
OG0001644,BBLLADNB_03223
OG0001645,BBLLADNB_03446
OG0001653,BBLLADNB_03545
OG0001654,BBLLADNB_00201
OG0001657,BBLLADNB_02828
OG0001958,BBLLADNB_02884
OG0001959,BBLLADNB_01890
OG0001967,BBLLADNB_03021
OG0001967,BBLLADNB_03022
OG0001969,BBLLADNB_01735
OG0001970,BBLLADNB_01750
OG0001980,BBLLADNB_01787
OG0001981,BBLLADNB_02157
OG0001987,BBLLADNB_00194
OG0001990,BBLLADNB_02863
OG0001995,BBLLADNB_01875
OG0001996,BBLLADNB_01876
OG0001997,BBLLADNB_01820
OG0002000,BBLLADNB_02232
OG0002002,BBLLADNB_01978
OG0002007,BBLLADNB_01616
OG0002009,BBLLADNB_03744
OG0002016,BBLLADNB_00060
OG0002019,BBLLADNB_02455
OG0002021,BBLLADNB_01560
OG0002021,BBLLADNB_02580
OG0002027,BBLLADNB_01631
OG0002027,BBLLADNB_02096
OG0002029,BBLLADNB_01724
OG0002039,BBLLADNB_00966
OG0002040,BBLLADNB_00965
OG0002041,BBLLADNB_00959
OG0002042,BBLLADNB_00953
OG0002045,BBLLADNB_01118
OG0002046,BBLLADNB_01530
OG0002049,BBLLADNB_03898
OG0002050,BBLLADNB_02427
OG0002051,BBLLADNB_00367
OG0002052,BBLLADNB_00352
OG0002057,BBLLADNB_03417
OG0002059,BBLLADNB_03577
OG0002061,BBLLADNB_03224
OG0002062,BBLLADNB_03222
OG0002064,BBLLADNB_03596
OG0002065,BBLLADNB_03498
OG0002066,BBLLADNB_03447
OG0002079,BBLLADNB_01409
OG0002080,BBLLADNB_01773
OG0002081,BBLLADNB_00823
OG0002083,BBLLADNB_00811
OG0002085,BBLLADNB_00451
OG0002086,BBLLADNB_00443
OG0002087,BBLLADNB_03556
OG0002088,BBLLADNB_00901
OG0002088,BBLLADNB_02176
OG0002089,BBLLADNB_00906
OG0002100,BBLLADNB_02732
OG0002104,BBLLADNB_03815
OG0002116,BBLLADNB_02057
OG0002262,BBLLADNB_02922
OG0002263,BBLLADNB_02921
OG0002265,BBLLADNB_03625
OG0002267,BBLLADNB_00518
OG0002268,BBLLADNB_00517
OG0002269,BBLLADNB_00515
