2767802455_NHBDKAOG_00003	K07334
2767802455_NHBDKAOG_00004	K21498
2767802455_NHBDKAOG_00026	K07486
2767802455_NHBDKAOG_00032	K01153
2767802455_NHBDKAOG_00033	K03427
2767802455_NHBDKAOG_00034	K01154
2767802455_NHBDKAOG_00036	K07403
2767802455_NHBDKAOG_00038	K01154
2767802455_NHBDKAOG_00055	K03427
2767802455_NHBDKAOG_00057	K04084
2767802455_NHBDKAOG_00058	K03926
2767802455_NHBDKAOG_00072	K07481
2767802455_NHBDKAOG_00076	K16147
2767802455_NHBDKAOG_00077	K16148
2767802455_NHBDKAOG_00078	K14742
2767802455_NHBDKAOG_00079	K03789
2767802455_NHBDKAOG_00080	K21929
2767802455_NHBDKAOG_00081	K03744
2767802455_NHBDKAOG_00082	K06872
2767802455_NHBDKAOG_00097	K06871
2767802455_NHBDKAOG_00101	K19140
2767802455_NHBDKAOG_00102	K19139
2767802455_NHBDKAOG_00103	K09002
2767802455_NHBDKAOG_00104	K19138
2767802455_NHBDKAOG_00105	K07016
2767802455_NHBDKAOG_00108	K16090
2767802455_NHBDKAOG_00108	K02014
2767802455_NHBDKAOG_00109	K03559
2767802455_NHBDKAOG_00110	K03561
2767802455_NHBDKAOG_00111	K03832
2767802455_NHBDKAOG_00113	K00111
2767802455_NHBDKAOG_00118	K07486
2767802455_NHBDKAOG_00119	K07343
2767802455_NHBDKAOG_00120	K07448
2767802455_NHBDKAOG_00126	K02003
2767802455_NHBDKAOG_00133	K07126
2767802455_NHBDKAOG_00146	K01476
2767802455_NHBDKAOG_00147	K10017
2767802455_NHBDKAOG_00147	K02028
2767802455_NHBDKAOG_00147	K02030
2767802455_NHBDKAOG_00147	K10822
2767802455_NHBDKAOG_00148	K10023
2767802455_NHBDKAOG_00148	K02029
2767802455_NHBDKAOG_00149	K10024
2767802455_NHBDKAOG_00149	K10016
2767802455_NHBDKAOG_00149	K02029
2767802455_NHBDKAOG_00150	K10022
2767802455_NHBDKAOG_00150	K02030
2767802455_NHBDKAOG_00162	K03427
2767802455_NHBDKAOG_00165	K19147
2767802455_NHBDKAOG_00166	K07452
2767802455_NHBDKAOG_00170	K01154
2767802455_NHBDKAOG_00171	K01153
2767802455_NHBDKAOG_00192	K12452
2767802455_NHBDKAOG_00194	K00978
2767802455_NHBDKAOG_00195	K01652
2767802455_NHBDKAOG_00199	K09667
2767802455_NHBDKAOG_00200	K01990
2767802455_NHBDKAOG_00203	K01406
2767802455_NHBDKAOG_00209	K02674
2767802455_NHBDKAOG_00219	K19344
2767802455_NHBDKAOG_00224	K06907
2767802455_NHBDKAOG_00236	K06903
2767802455_NHBDKAOG_00249	K03650
2767802455_NHBDKAOG_00250	K03217
2767802455_NHBDKAOG_00251	K08998
2767802455_NHBDKAOG_00252	K02313
2767802455_NHBDKAOG_00253	K02338
2767802455_NHBDKAOG_00254	K02470
2767802455_NHBDKAOG_00255	K01591
2767802455_NHBDKAOG_00257	K00014
2767802455_NHBDKAOG_00260	K02596
2767802455_NHBDKAOG_00261	K02593
2767802455_NHBDKAOG_00272	K09803
2767802455_NHBDKAOG_00276	K02078
2767802455_NHBDKAOG_00279	K18828
2767802455_NHBDKAOG_00280	K18829
2767802455_NHBDKAOG_00283	K02584
2767802455_NHBDKAOG_00287	K02585
2767802455_NHBDKAOG_00288	K02584
2767802455_NHBDKAOG_00290	K23916
2767802455_NHBDKAOG_00291	K03617
2767802455_NHBDKAOG_00292	K03616
2767802455_NHBDKAOG_00293	K03615
2767802455_NHBDKAOG_00294	K03614
2767802455_NHBDKAOG_00295	K03612
2767802455_NHBDKAOG_00296	K03613
2767802455_NHBDKAOG_00297	K09801
2767802455_NHBDKAOG_00300	K03612
2767802455_NHBDKAOG_00301	K03613
2767802455_NHBDKAOG_00302	K09801
2767802455_NHBDKAOG_00304	K15773
2767802455_NHBDKAOG_00305	K07154
2767802455_NHBDKAOG_00310	K02597
2767802455_NHBDKAOG_00311	K02595
2767802455_NHBDKAOG_00313	K02594
2767802455_NHBDKAOG_00314	K02017
2767802455_NHBDKAOG_00315	K02018
2767802455_NHBDKAOG_00316	K02020
2767802455_NHBDKAOG_00318	K15790
2767802455_NHBDKAOG_00319	K02587
2767802455_NHBDKAOG_00320	K02592
2767802455_NHBDKAOG_00321	K02596
2767802455_NHBDKAOG_00322	K03803
2767802455_NHBDKAOG_00327	K13819
2767802455_NHBDKAOG_00332	K01796
2767802455_NHBDKAOG_00333	K02030
2767802455_NHBDKAOG_00334	K02029
2767802455_NHBDKAOG_00335	K02028
2767802455_NHBDKAOG_00335	K02030
2767802455_NHBDKAOG_00335	K10822
2767802455_NHBDKAOG_00338	K06384
2767802455_NHBDKAOG_00341	K03924
2767802455_NHBDKAOG_00346	K06147
2767802455_NHBDKAOG_00348	K01768
2767802455_NHBDKAOG_00350	K00598
2767802455_NHBDKAOG_00351	K07090
2767802455_NHBDKAOG_00353	K03387
2767802455_NHBDKAOG_00354	K03386
2767802455_NHBDKAOG_00355	K03495
2767802455_NHBDKAOG_00356	K03501
2767802455_NHBDKAOG_00357	K03496
2767802455_NHBDKAOG_00358	K03497
2767802455_NHBDKAOG_00359	K02116
2767802455_NHBDKAOG_00360	K02108
2767802455_NHBDKAOG_00361	K02110
2767802455_NHBDKAOG_00362	K02109
2767802455_NHBDKAOG_00363	K02113
2767802455_NHBDKAOG_00364	K02111
2767802455_NHBDKAOG_00365	K02115
2767802455_NHBDKAOG_00366	K02112
2767802455_NHBDKAOG_00367	K02114
2767802455_NHBDKAOG_00368	K03690
2767802455_NHBDKAOG_00370	K03183
2767802455_NHBDKAOG_00372	K23127
2767802455_NHBDKAOG_00375	K01754
2767802455_NHBDKAOG_00376	K01738
2767802455_NHBDKAOG_00377	K14155
2767802455_NHBDKAOG_00378	K00077
2767802455_NHBDKAOG_00381	K01409
2767802455_NHBDKAOG_00383	K07080
2767802455_NHBDKAOG_00384	K00344
2767802455_NHBDKAOG_00385	K03657
2767802455_NHBDKAOG_00387	K01934
2767802455_NHBDKAOG_00388	K08309
2767802455_NHBDKAOG_00389	K03953
2767802455_NHBDKAOG_00390	K00974
2767802455_NHBDKAOG_00399	K18828
2767802455_NHBDKAOG_00402	K06877
2767802455_NHBDKAOG_00403	K08301
2767802455_NHBDKAOG_00404	K08303
2767802455_NHBDKAOG_00406	K07080
2767802455_NHBDKAOG_00409	K01338
2767802455_NHBDKAOG_00415	K22684
