Orthogroup	2767802455	spades-bin.32
OG0000000	NHBDKAOG_00465	BBLLADNB_01888
OG0000000	NHBDKAOG_01585	BBLLADNB_03206
OG0000000	NHBDKAOG_03814, NHBDKAOG_01839, NHBDKAOG_04710	BBLLADNB_03358
OG0000001	NHBDKAOG_01601	BBLLADNB_03360
OG0000001	NHBDKAOG_04607	BBLLADNB_01431
OG0000005	NHBDKAOG_00123	BBLLADNB_03049
OG0000005	NHBDKAOG_01584	BBLLADNB_03375, BBLLADNB_00440, BBLLADNB_03261, BBLLADNB_02134
OG0000006	NHBDKAOG_04184	BBLLADNB_03729
OG0000006	NHBDKAOG_02948	BBLLADNB_03015
OG0000007	NHBDKAOG_02492	BBLLADNB_02365
OG0000007	NHBDKAOG_00803	BBLLADNB_02048
OG0000008	NHBDKAOG_03567	BBLLADNB_00820
OG0000008	NHBDKAOG_03164	BBLLADNB_02916
OG0000009	NHBDKAOG_01970	BBLLADNB_00363
OG0000010	NHBDKAOG_03611	BBLLADNB_03377
OG0000012	NHBDKAOG_02831	BBLLADNB_02911
OG0000014	NHBDKAOG_03919, NHBDKAOG_02894	BBLLADNB_03006
OG0000014	NHBDKAOG_00189	BBLLADNB_00625
OG0000016	NHBDKAOG_02949	BBLLADNB_03016
OG0000018	NHBDKAOG_03788, NHBDKAOG_03161	BBLLADNB_02917
OG0000018	NHBDKAOG_00147	BBLLADNB_03302
OG0000019	NHBDKAOG_00827	BBLLADNB_01031
OG0000020	NHBDKAOG_03201	BBLLADNB_00458
OG0000022	NHBDKAOG_04180	BBLLADNB_02895
OG0000023	NHBDKAOG_01567, NHBDKAOG_01686, NHBDKAOG_02276	BBLLADNB_02415
OG0000024	NHBDKAOG_04135, NHBDKAOG_02839, NHBDKAOG_04233, NHBDKAOG_04136	BBLLADNB_01074
OG0000025	NHBDKAOG_02905	BBLLADNB_00234
OG0000025	NHBDKAOG_02903	BBLLADNB_00232
OG0000026	NHBDKAOG_02636	BBLLADNB_03813
OG0000026	NHBDKAOG_03636	BBLLADNB_01144
OG0000026	NHBDKAOG_00997	BBLLADNB_01301
OG0000027	NHBDKAOG_03174	BBLLADNB_00516
OG0000027	NHBDKAOG_01356	BBLLADNB_02016
OG0000028	NHBDKAOG_03851	BBLLADNB_03481
OG0000029	NHBDKAOG_03968, NHBDKAOG_00536, NHBDKAOG_04664, NHBDKAOG_00551, NHBDKAOG_03967, NHBDKAOG_03969, NHBDKAOG_04839, NHBDKAOG_02864, NHBDKAOG_01399, NHBDKAOG_00474, NHBDKAOG_03952, NHBDKAOG_02438	BBLLADNB_00560
OG0000030	NHBDKAOG_03197	BBLLADNB_02770
OG0000031	NHBDKAOG_04579	BBLLADNB_02574, BBLLADNB_02737
OG0000033	NHBDKAOG_00492	BBLLADNB_02789
OG0000033	NHBDKAOG_03095	BBLLADNB_01136, BBLLADNB_01722
OG0000034	NHBDKAOG_04843, NHBDKAOG_04844	BBLLADNB_01062, BBLLADNB_03824
