Orthogroup	spades-bin.32	GCA_003332265.1
OG0000000	BBLLADNB_02136, BBLLADNB_03206, BBLLADNB_03358, BBLLADNB_01430	BFLDHLJO_00050
OG0000001	BBLLADNB_03360	BFLDHLJO_00653
OG0000001	BBLLADNB_01431	BFLDHLJO_00051
OG0000003	BBLLADNB_02283	BFLDHLJO_03582
OG0000005	BBLLADNB_03049	BFLDHLJO_02786
OG0000005	BBLLADNB_03375, BBLLADNB_00440, BBLLADNB_03261, BBLLADNB_02134, BBLLADNB_01889, BBLLADNB_00354	BFLDHLJO_03557
OG0000006	BBLLADNB_03729	BFLDHLJO_02364
OG0000007	BBLLADNB_02365	BFLDHLJO_02740
OG0000007	BBLLADNB_02048	BFLDHLJO_00097
OG0000008	BBLLADNB_00820	BFLDHLJO_02956
OG0000008	BBLLADNB_02916	BFLDHLJO_02897
OG0000010	BBLLADNB_03377	BFLDHLJO_00210
OG0000011	BBLLADNB_00454, BBLLADNB_03054	BFLDHLJO_03585
OG0000011	BBLLADNB_00010, BBLLADNB_00439	BFLDHLJO_03583
OG0000011	BBLLADNB_00438	BFLDHLJO_03584
OG0000011	BBLLADNB_00014	BFLDHLJO_03580
OG0000012	BBLLADNB_02911	BFLDHLJO_02512
OG0000012	BBLLADNB_00395	BFLDHLJO_01163
OG0000014	BBLLADNB_00567	BFLDHLJO_00327
OG0000015	BBLLADNB_03018	BFLDHLJO_02360
OG0000016	BBLLADNB_03017	BFLDHLJO_02361
OG0000018	BBLLADNB_03302	BFLDHLJO_00896
OG0000019	BBLLADNB_01031	BFLDHLJO_00447
OG0000020	BBLLADNB_00458	BFLDHLJO_02820
OG0000020	BBLLADNB_03115	BFLDHLJO_01549
OG0000021	BBLLADNB_02362	BFLDHLJO_01066
OG0000021	BBLLADNB_00396	BFLDHLJO_01067
OG0000022	BBLLADNB_02895	BFLDHLJO_02510
OG0000022	BBLLADNB_02361	BFLDHLJO_01068
OG0000022	BBLLADNB_00397	BFLDHLJO_01161
OG0000024	BBLLADNB_01074	BFLDHLJO_01091
