orthogroup,locus_tag,KO,Kannotation,in_or_ex,Module,Module_type,General_category,Specific_category,Module_description
OG0002076,BBLLADNB_02569,K07746,antitoxin ParD1/3/4  ,inclusive,NA,NA,NA,NA,NA
OG0002445,BBLLADNB_03057,K23256,NADPH-dependent curcumin reductase [EC:1.3.1.-],inclusive,NA,NA,NA,NA,NA
OG0002490,BBLLADNB_00202,K06905,uncharacterized protein  ,inclusive,NA,NA,NA,NA,NA
OG0002624,BBLLADNB_03303,K02029,polar amino acid transport,inclusive,NA,NA,NA,NA,NA
OG0002626,BBLLADNB_02876,K09984,uncharacterized protein  ,inclusive,NA,NA,NA,NA,NA
OG0002642,BBLLADNB_02529,K19746,D-arginine dehydrogenase [EC:1.4.99.6] ,inclusive,NA,NA,NA,NA,NA
OG0002683,BBLLADNB_03488,K09667,protein O-GlcNAc transferase [EC:2.4.1.255],inclusive,NA,NA,NA,NA,NA
OG0002696,BBLLADNB_03585,K18289,itaconate CoA-transferase [EC:2.8.3.- 2.8.3.22],inclusive,NA,NA,NA,NA,NA
OG0002717,BBLLADNB_00275,K03301,ATP:ADP antiporter,inclusive,NA,NA,NA,NA,NA
OG0002721,BBLLADNB_01504,K02111,F-type H+/Na+-transporting ATPase subunit,inclusive,M00157,Pathway modules,Energy metabolism,ATP synthesis, F-type ATPase, prokaryotes and chloroplasts [PATH:map00190 map00195]
OG0002729,BBLLADNB_02601,K06897,7-8-dihydropterin-6-yl-methyl-4-(beta-D-ribofuranosyl)aminobenzene 5'-phosphate synthase [EC:2.5.1.105],inclusive,NA,NA,NA,NA,NA
OG0002753,BBLLADNB_03309,K01692,enoyl-CoA hydratase [EC:4.2.1.17] ,inclusive,M00087,Pathway modules,Lipid metabolism,Fatty acid metabolism, beta-Oxidation [PATH:map00071 map01212 map01100]
OG0002753,BBLLADNB_03309,K01692,enoyl-CoA hydratase [EC:4.2.1.17] ,inclusive,M00032,Pathway modules,Amino acid metabolism,Lysine metabolism, Lysine degradation, lysine => saccharopine => acetoacetyl-CoA [PATH:map00310 map01100]
OG0002757,BBLLADNB_00997,K09857,uncharacterized protein  ,inclusive,NA,NA,NA,NA,NA
OG0002758,BBLLADNB_00996,K06192,paraquat-inducible protein B ,inclusive,NA,NA,NA,NA,NA
OG0002759,BBLLADNB_00995,K03808,paraquat-inducible protein A ,inclusive,NA,NA,NA,NA,NA
OG0002760,BBLLADNB_00994,K03808,paraquat-inducible protein A ,inclusive,NA,NA,NA,NA,NA
OG0002768,BBLLADNB_00705,K05595,multiple antibiotic resistance protein,inclusive,NA,NA,NA,NA,NA
OG0002769,BBLLADNB_00829,K00873,pyruvate kinase [EC:2.7.1.40] ,inclusive,M00001,Pathway modules,Carbohydrate metabolism,Central carbohydrate metabolism, Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010 map01200 map01100]
OG0002769,BBLLADNB_00829,K00873,pyruvate kinase [EC:2.7.1.40] ,inclusive,M00002,Pathway modules,Carbohydrate metabolism,Central carbohydrate metabolism, Glycolysis, core module involving three-carbon compounds [PATH:map00010 map01200 map01230 map01100]
OG0002769,BBLLADNB_00829,K00873,pyruvate kinase [EC:2.7.1.40] ,inclusive,M00049,Pathway modules,Nucleotide metabolism,Purine metabolism, Adenine ribonucleotide biosynthesis, IMP => ADP,ATP [PATH:map00230 map01100]
