Orthogroup	spades-bin.32	Reactor4-bin.4
OG0000000	BBLLADNB_01887	CEKMHFBL_02338
OG0000000	BBLLADNB_03206	CEKMHFBL_02342, CEKMHFBL_02343
OG0000001	BBLLADNB_03360	CEKMHFBL_02659
OG0000001	BBLLADNB_03667	CEKMHFBL_00603
OG0000005	BBLLADNB_03049	CEKMHFBL_02232
OG0000005	BBLLADNB_03375, BBLLADNB_00440, BBLLADNB_03261, BBLLADNB_02134	CEKMHFBL_02344
OG0000005	BBLLADNB_01889, BBLLADNB_00354	CEKMHFBL_02337
OG0000007	BBLLADNB_02365	CEKMHFBL_00819
OG0000007	BBLLADNB_02048	CEKMHFBL_01033
OG0000008	BBLLADNB_00820	CEKMHFBL_03345
OG0000008	BBLLADNB_01965, BBLLADNB_02916	CEKMHFBL_02387
OG0000009	BBLLADNB_00222	CEKMHFBL_00035, CEKMHFBL_04174
OG0000009	BBLLADNB_00363	CEKMHFBL_01332
OG0000010	BBLLADNB_03377	CEKMHFBL_01416
OG0000012	BBLLADNB_02911	CEKMHFBL_02868, CEKMHFBL_03228
OG0000014	BBLLADNB_00567	CEKMHFBL_01760, CEKMHFBL_01116, CEKMHFBL_01879
OG0000015	BBLLADNB_03018	CEKMHFBL_00703, CEKMHFBL_01850
OG0000018	BBLLADNB_02917	CEKMHFBL_02390
OG0000018	BBLLADNB_03302	CEKMHFBL_01623
OG0000019	BBLLADNB_01031	CEKMHFBL_00547
OG0000020	BBLLADNB_00458	CEKMHFBL_01198
OG0000020	BBLLADNB_03115	CEKMHFBL_00208, CEKMHFBL_04032
OG0000021	BBLLADNB_02910	CEKMHFBL_02606, CEKMHFBL_02607
OG0000022	BBLLADNB_02895	CEKMHFBL_03230, CEKMHFBL_02870
OG0000022	BBLLADNB_02361	CEKMHFBL_02608
OG0000023	BBLLADNB_02415	CEKMHFBL_01998
OG0000024	BBLLADNB_01074	CEKMHFBL_01279
OG0000025	BBLLADNB_00234	CEKMHFBL_00023
OG0000025	BBLLADNB_00232	CEKMHFBL_00025
OG0000027	BBLLADNB_00516	CEKMHFBL_02369
OG0000027	BBLLADNB_03780	CEKMHFBL_01085
OG0000027	BBLLADNB_02016	CEKMHFBL_04180
OG0000029	BBLLADNB_00560	CEKMHFBL_03930, CEKMHFBL_03623
OG0000030	BBLLADNB_02770	CEKMHFBL_02371
OG0000030	BBLLADNB_03769	CEKMHFBL_04070
OG0000031	BBLLADNB_02526	CEKMHFBL_03820
OG0000031	BBLLADNB_02574, BBLLADNB_02737	CEKMHFBL_01847
OG0000032	BBLLADNB_02940	CEKMHFBL_04121
OG0000033	BBLLADNB_02789	CEKMHFBL_02512
OG0000033	BBLLADNB_01869	CEKMHFBL_00263
OG0000033	BBLLADNB_01136, BBLLADNB_01722	CEKMHFBL_02366
