target_id	length	eff_length	est_counts	tpm
spades-bin.32_BBLLADNB_00001	1278	1129.17	1810	39.2137
spades-bin.32_BBLLADNB_00002	432	283.316	5937	512.641
spades-bin.32_BBLLADNB_00003	198	64.885	2535.27	955.869
spades-bin.32_BBLLADNB_00004	360	212.035	1521	175.485
spades-bin.32_BBLLADNB_00005	1047	898.167	2133	58.0967
spades-bin.32_BBLLADNB_00006	2376	2227.17	1524	16.7398
spades-bin.32_BBLLADNB_00007	303	157.076	760	118.364
spades-bin.32_BBLLADNB_00008	378	229.707	373	39.724
spades-bin.32_BBLLADNB_00009	77	9.77686	131.5	329.037
spades-bin.32_BBLLADNB_00010	1467	1318.17	167	3.0993
spades-bin.32_BBLLADNB_00011	1320	1171.17	422	8.81478
spades-bin.32_BBLLADNB_00012	612	463.167	14	0.739449
spades-bin.32_BBLLADNB_00013	369	220.863	180	19.9373
spades-bin.32_BBLLADNB_00014	1218	1069.17	370	8.46592
spades-bin.32_BBLLADNB_00015	567	418.167	424	24.8047
spades-bin.32_BBLLADNB_00016	1320	1171.17	1243	25.9639
spades-bin.32_BBLLADNB_00017	1266	1117.17	147	3.21897
spades-bin.32_BBLLADNB_00018	1164	1015.17	238	5.73531
spades-bin.32_BBLLADNB_00019	1068	919.167	116	3.08732
spades-bin.32_BBLLADNB_00020	1182	1033.17	287	6.79562
spades-bin.32_BBLLADNB_00021	1245	1096.17	190	4.24028
spades-bin.32_BBLLADNB_00022	1632	1483.17	211	3.48025
spades-bin.32_BBLLADNB_00023	879	730.167	52	1.7422
spades-bin.32_BBLLADNB_00024	879	730.167	75	2.51279
spades-bin.32_BBLLADNB_00025	1116	967.167	189	4.78055
spades-bin.32_BBLLADNB_00026	252	109.813	1659	369.582
spades-bin.32_BBLLADNB_00027	1212	1063.17	237	5.45337
spades-bin.32_BBLLADNB_00028	840	691.167	113	3.99957
spades-bin.32_BBLLADNB_00029	453	304.229	1088	87.4876
spades-bin.32_BBLLADNB_00030	909	760.167	459	14.7714
spades-bin.32_BBLLADNB_00031	129	21.2043	146	168.44
spades-bin.32_BBLLADNB_00032	639	490.167	1411	70.4207
spades-bin.32_BBLLADNB_00033	1083	934.167	1623	42.5022
spades-bin.32_BBLLADNB_00034	1131	982.167	1001	24.9325
spades-bin.32_BBLLADNB_00035	3186	3037.17	6647	53.5396
spades-bin.32_BBLLADNB_00036	597	448.167	318	17.3582
spades-bin.32_BBLLADNB_00037	795	646.167	116	4.39168
spades-bin.32_BBLLADNB_00038	660	511.167	545	26.0826
spades-bin.32_BBLLADNB_00039	1206	1057.17	2199	50.8861
spades-bin.32_BBLLADNB_00040	825	676.167	929	33.6108
spades-bin.32_BBLLADNB_00041	873	724.167	902.886	30.5009
spades-bin.32_BBLLADNB_00042	1350	1201.17	235	4.78611
spades-bin.32_BBLLADNB_00043	678	529.167	471	21.7744
spades-bin.32_BBLLADNB_00044	489	340.167	313	22.5097
spades-bin.32_BBLLADNB_00045	1524	1375.17	1701	30.2598
spades-bin.32_BBLLADNB_00046	1218	1069.17	727	16.6344
spades-bin.32_BBLLADNB_00047	300	154.218	538	85.3423
spades-bin.32_BBLLADNB_00048	453	304.229	782	62.8817
spades-bin.32_BBLLADNB_00049	1497	1348.17	294.997	5.35292
spades-bin.32_BBLLADNB_00050	339	191.456	276	35.2662
spades-bin.32_BBLLADNB_00051	333	185.531	184	24.2616
spades-bin.32_BBLLADNB_00052	1506	1357.17	124	2.23515
spades-bin.32_BBLLADNB_00053	1287	1138.17	58	1.24664
spades-bin.32_BBLLADNB_00054	492	343.167	324	23.0971
spades-bin.32_BBLLADNB_00055	1365	1216.17	1649	33.17
