OG0000001	PEBOPBNB_02650	2506672049
OG0000007	PEBOPBNB_00294	2506670952
OG0000036	PEBOPBNB_02679	2506672561
OG0000224	PEBOPBNB_02497	2506669614
OG0000434	PEBOPBNB_00724	GNJGOIBN_03551
OG0000434	PEBOPBNB_00724	NHBDKAOG_04567
OG0000434	PEBOPBNB_00724	MCBBHCNB_03835
OG0000434	PEBOPBNB_00724	BFLDHLJO_03071
OG0000434	PEBOPBNB_00724	CEKMHFBL_02959
