locus_tag	ftype	length_bp	gene	EC_number	COG	product
CEKMHFBL_00001	CDS	795	minC		COG0850	Septum site-determining protein MinC
CEKMHFBL_00001	gene	795	minC			
CEKMHFBL_00002	CDS	1155	ubiH	1.14.13.-	COG0654	2-octaprenyl-6-methoxyphenol hydroxylase
CEKMHFBL_00002	gene	1155	ubiH			
CEKMHFBL_00003	CDS	1308	pepP	3.4.11.9	COG0006	Xaa-Pro aminopeptidase
CEKMHFBL_00003	gene	1308	pepP			
CEKMHFBL_00004	CDS	702	murU	2.7.7.-	COG1208	N-acetylmuramate alpha-1-phosphate uridylyltransferase
CEKMHFBL_00004	gene	702	murU			
CEKMHFBL_00005	CDS	1032	amgK	2.7.1.-	COG3178	N-acetylmuramate/N-acetylglucosamine kinase
CEKMHFBL_00005	gene	1032	amgK			
CEKMHFBL_00006	CDS	2250	lptD		COG1452	LPS-assembly protein LptD
CEKMHFBL_00006	gene	2250	lptD			
CEKMHFBL_00007	CDS	1320	surA_1	5.2.1.8	COG0760	Chaperone SurA
CEKMHFBL_00007	gene	1320	surA_1			
CEKMHFBL_00008	CDS	990	pdxA	1.1.1.262	COG1995	4-hydroxythreonine-4-phosphate dehydrogenase
CEKMHFBL_00008	gene	990	pdxA			
CEKMHFBL_00009	CDS	786	rsmA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
CEKMHFBL_00009	gene	786	rsmA			
CEKMHFBL_00010	CDS	198				hypothetical protein
CEKMHFBL_00010	gene	198				
CEKMHFBL_00011	CDS	678				hypothetical protein
CEKMHFBL_00011	gene	678				
CEKMHFBL_00012	CDS	768	xthA	3.1.11.2	COG0708	Exodeoxyribonuclease III
CEKMHFBL_00012	gene	768	xthA			
CEKMHFBL_00013	CDS	636				hypothetical protein
CEKMHFBL_00013	gene	636				
CEKMHFBL_00014	CDS	1560				hypothetical protein
CEKMHFBL_00014	gene	1560				
CEKMHFBL_00015	CDS	996				hypothetical protein
CEKMHFBL_00015	gene	996				
CEKMHFBL_00016	CDS	1620				hypothetical protein
CEKMHFBL_00016	gene	1620				
CEKMHFBL_00017	CDS	1095				hypothetical protein
CEKMHFBL_00017	gene	1095				
CEKMHFBL_00018	CDS	1179	wbpI_1	5.1.3.23	COG0381	UDP-2,3-diacetamido-2,3-dideoxy-D-glucuronate 2-epimerase
CEKMHFBL_00018	gene	1179	wbpI_1			
CEKMHFBL_00019	CDS	861				hypothetical protein
CEKMHFBL_00019	gene	861				
CEKMHFBL_00020	CDS	1086				hypothetical protein
CEKMHFBL_00020	gene	1086				
CEKMHFBL_00021	CDS	1554				hypothetical protein
