target_id	length	eff_length	est_counts	tpm
Reactor4-bin.4_CEKMHFBL_00001	795	642.566	0	0
Reactor4-bin.4_CEKMHFBL_00002	1155	1002.57	0	0
Reactor4-bin.4_CEKMHFBL_00003	1308	1155.57	0	0
Reactor4-bin.4_CEKMHFBL_00004	702	549.566	0	0
Reactor4-bin.4_CEKMHFBL_00005	1032	879.566	0	0
Reactor4-bin.4_CEKMHFBL_00006	2250	2097.57	1	0.0203849
Reactor4-bin.4_CEKMHFBL_00007	1320	1167.57	0	0
Reactor4-bin.4_CEKMHFBL_00008	990	837.566	0	0
Reactor4-bin.4_CEKMHFBL_00009	786	633.566	0	0
Reactor4-bin.4_CEKMHFBL_00010	198	61.8492	0	0
Reactor4-bin.4_CEKMHFBL_00011	678	525.566	0	0
Reactor4-bin.4_CEKMHFBL_00012	768	615.566	0	0
Reactor4-bin.4_CEKMHFBL_00013	636	483.566	0	0
Reactor4-bin.4_CEKMHFBL_00014	1560	1407.57	1	0.0303777
Reactor4-bin.4_CEKMHFBL_00015	996	843.566	0	0
Reactor4-bin.4_CEKMHFBL_00016	1620	1467.57	1	0.0291358
Reactor4-bin.4_CEKMHFBL_00017	1095	942.566	0	0
Reactor4-bin.4_CEKMHFBL_00018	1179	1026.57	0	0
Reactor4-bin.4_CEKMHFBL_00019	861	708.566	0	0
Reactor4-bin.4_CEKMHFBL_00020	1086	933.566	0	0
Reactor4-bin.4_CEKMHFBL_00021	1554	1401.57	0	0
Reactor4-bin.4_CEKMHFBL_00022	1221	1068.57	1	0.040015
Reactor4-bin.4_CEKMHFBL_00023	1941	1788.57	1	0.0239067
Reactor4-bin.4_CEKMHFBL_00024	1212	1059.57	0	0
Reactor4-bin.4_CEKMHFBL_00025	1926	1773.57	0	0
Reactor4-bin.4_CEKMHFBL_00026	1215	1062.57	0	0
Reactor4-bin.4_CEKMHFBL_00027	1317	1164.57	0	0
Reactor4-bin.4_CEKMHFBL_00028	1125	972.566	0	0
Reactor4-bin.4_CEKMHFBL_00029	1380	1227.57	0	0
Reactor4-bin.4_CEKMHFBL_00030	1329	1176.57	0	0
Reactor4-bin.4_CEKMHFBL_00031	975	822.566	0	0
Reactor4-bin.4_CEKMHFBL_00032	1212	1059.57	0	0
Reactor4-bin.4_CEKMHFBL_00033	1470	1317.57	0	0
Reactor4-bin.4_CEKMHFBL_00034	1161	1008.57	0	0
Reactor4-bin.4_CEKMHFBL_00035	1239	1086.57	0	0
Reactor4-bin.4_CEKMHFBL_00036	918	765.566	1	0.0558524
Reactor4-bin.4_CEKMHFBL_00037	744	591.566	0	0
Reactor4-bin.4_CEKMHFBL_00038	792	639.566	0	0
Reactor4-bin.4_CEKMHFBL_00039	882	729.566	0	0
Reactor4-bin.4_CEKMHFBL_00040	1428	1275.57	0	0
Reactor4-bin.4_CEKMHFBL_00041	717	564.566	0	0
Reactor4-bin.4_CEKMHFBL_00042	1251	1098.57	0	0
Reactor4-bin.4_CEKMHFBL_00043	1773	1620.57	0	0
Reactor4-bin.4_CEKMHFBL_00044	222	80.9354	0	0
Reactor4-bin.4_CEKMHFBL_00045	1062	909.566	0	0
Reactor4-bin.4_CEKMHFBL_00046	2814	2661.57	0	0
Reactor4-bin.4_CEKMHFBL_00047	2325	2172.57	0	0
Reactor4-bin.4_CEKMHFBL_00048	432	279.84	0	0
Reactor4-bin.4_CEKMHFBL_00049	453	300.695	0	0
Reactor4-bin.4_CEKMHFBL_00050	591	438.566	0	0
Reactor4-bin.4_CEKMHFBL_00051	92	9.93215	0	0
Reactor4-bin.4_CEKMHFBL_00052	1698	1545.57	0	0
Reactor4-bin.4_CEKMHFBL_00053	972	819.566	1	0.0521723
Reactor4-bin.4_CEKMHFBL_00054	939	786.566	1	0.0543612
Reactor4-bin.4_CEKMHFBL_00055	390	238.224	4	0.717956
Reactor4-bin.4_CEKMHFBL_00056	855	702.566	0	0
Reactor4-bin.4_CEKMHFBL_00057	1938	1785.57	5.08135	0.121682
Reactor4-bin.4_CEKMHFBL_00058	1140	987.566	1	0.043297
Reactor4-bin.4_CEKMHFBL_00059	2085	1932.57	1	0.0221253
Reactor4-bin.4_CEKMHFBL_00060	1347	1194.57	0	0
Reactor4-bin.4_CEKMHFBL_00061	885	732.566	0	0
Reactor4-bin.4_CEKMHFBL_00062	750	597.566	0	0
Reactor4-bin.4_CEKMHFBL_00063	741	588.566	0	0
Reactor4-bin.4_CEKMHFBL_00064	819	666.566	0	0
Reactor4-bin.4_CEKMHFBL_00065	465	312.695	0	0
Reactor4-bin.4_CEKMHFBL_00066	282	134.114	0	0
Reactor4-bin.4_CEKMHFBL_00067	717	564.566	0	0
Reactor4-bin.4_CEKMHFBL_00068	405	253.052	0	0
Reactor4-bin.4_CEKMHFBL_00069	405	253.052	0	0
Reactor4-bin.4_CEKMHFBL_00070	681	528.566	2	0.161791
Reactor4-bin.4_CEKMHFBL_00071	1251	1098.57	0	0
Reactor4-bin.4_CEKMHFBL_00072	750	597.566	0	0
Reactor4-bin.4_CEKMHFBL_00073	783	630.566	0	0
Reactor4-bin.4_CEKMHFBL_00074	675	522.566	0	0
Reactor4-bin.4_CEKMHFBL_00075	1137	984.566	0	0
Reactor4-bin.4_CEKMHFBL_00076	936	783.566	0	0
Reactor4-bin.4_CEKMHFBL_00077	2046	1893.57	1	0.022581
Reactor4-bin.4_CEKMHFBL_00078	1350	1197.57	1	0.0357047
Reactor4-bin.4_CEKMHFBL_00079	552	399.566	0	0
Reactor4-bin.4_CEKMHFBL_00080	297	148.317	0	0
Reactor4-bin.4_CEKMHFBL_00081	2109	1956.57	9	0.196685
Reactor4-bin.4_CEKMHFBL_00082	948	795.566	0	0
Reactor4-bin.4_CEKMHFBL_00083	936	783.566	0	0
Reactor4-bin.4_CEKMHFBL_00084	1236	1083.57	0	0
Reactor4-bin.4_CEKMHFBL_00085	1203	1050.57	6	0.244204
Reactor4-bin.4_CEKMHFBL_00086	768	615.566	11	0.764086
Reactor4-bin.4_CEKMHFBL_00087	624	471.566	0	0
Reactor4-bin.4_CEKMHFBL_00088	699	546.566	0	0
Reactor4-bin.4_CEKMHFBL_00089	1362	1209.57	0	0
Reactor4-bin.4_CEKMHFBL_00090	420	267.922	0	0
Reactor4-bin.4_CEKMHFBL_00091	492	339.566	0	0
Reactor4-bin.4_CEKMHFBL_00092	1506	1353.57	0	0
Reactor4-bin.4_CEKMHFBL_00093	246	101.537	0	0
Reactor4-bin.4_CEKMHFBL_00094	132	20.345	0	0
Reactor4-bin.4_CEKMHFBL_00095	339	188.268	12	2.72539
Reactor4-bin.4_CEKMHFBL_00096	1485	1332.57	0	0
Reactor4-bin.4_CEKMHFBL_00097	276	128.721	0	0
Reactor4-bin.4_CEKMHFBL_00098	3477	3324.57	18	0.231506
Reactor4-bin.4_CEKMHFBL_00099	624	471.566	1	0.0906738
