Orthogroup	Species Tree Node	Gene Tree Node	Support	Type	Genes 1	Genes 2
OG0000000	N0	n0	0.8888888888888888	Non-Terminal	2506520024_2506669952, 2506520024_2506669502, 2506520024_2506670816, 2506520024_2506669956, 2506520024_2506672076, GCA_000310125_2_lcl|AMXB01000057.1_prot_ENO75276.1_3996, 2506520024_2506669534, 2506520024_2506669830, 2506520024_2506670515, 2767802455_NHBDKAOG_04722, Reactor4-bin_4_CEKMHFBL_00104, spades-bin_32_BBLLADNB_01887, 2687453699_PEBOPBNB_00160, Reactor4-bin_4_CEKMHFBL_02338, 2767802455_NHBDKAOG_00465, 2687453699_PEBOPBNB_00161, spades-bin_32_BBLLADNB_01888, GCA_000310125_2_lcl|AMXB01000059.1_prot_ENO75197.1_4017, 644736333_MCBBHCNB_04024, 2767802316_GNJGOIBN_03738, spades-bin_32_BBLLADNB_00941, 2506520024_2506672246, GCA_000310125_2_lcl|AMXB01000040.1_prot_ENO76352.1_3557	GCA_003332265_1_BFLDHLJO_00050, 2506520024_2506669921, 2767802455_NHBDKAOG_01300, GCA_000310125_2_lcl|AMXB01000032.1_prot_ENO77225.1_3159, 2506520024_2506669851, Reactor4-bin_4_CEKMHFBL_00934, 2767802455_NHBDKAOG_04602, 2506520024_2506670747, Reactor4-bin_4_CEKMHFBL_02518, 2767802455_NHBDKAOG_00494, 2767802455_NHBDKAOG_01578, GCA_000310125_2_lcl|AMXB01000002.1_prot_ENO82916.1_176, 2506520024_2506670103, 2506520024_2506671991, 2506520024_2506671368, 2506520024_2506670365, 2687453699_PEBOPBNB_03436, spades-bin_32_BBLLADNB_02136, GCA_000310125_2_lcl|AMXB01000044.1_prot_ENO76101.1_3704, 2767802455_NHBDKAOG_04601, 2767802455_NHBDKAOG_04604, 2767802455_NHBDKAOG_04606, 644736333_MCBBHCNB_03514, 2767802316_GNJGOIBN_03238, 2506520024_2506671670, 2506520024_2506671409, 2506520024_2506669499, 2767802455_NHBDKAOG_03134, 2767802316_GNJGOIBN_02184, 2767802316_GNJGOIBN_02038, Reactor4-bin_4_CEKMHFBL_01092, 644736333_MCBBHCNB_02488, Reactor4-bin_4_CEKMHFBL_01560, 644736333_MCBBHCNB_03120, 2767802455_NHBDKAOG_01589, Reactor4-bin_4_CEKMHFBL_02342, Reactor4-bin_4_CEKMHFBL_02343, 2767802316_GNJGOIBN_02807, 644736333_MCBBHCNB_03074, 2767802455_NHBDKAOG_01585, spades-bin_32_BBLLADNB_03206, 2687453699_PEBOPBNB_03180, 2767802455_NHBDKAOG_00493, 644736333_MCBBHCNB_01367, 2767802316_GNJGOIBN_01089, Reactor4-bin_4_CEKMHFBL_02506, 2506520024_2506670695, 2506520024_2506671840, 2506520024_2506669459, 2767802316_GNJGOIBN_02784, 644736333_MCBBHCNB_03051, 2687453699_PEBOPBNB_03032, spades-bin_32_BBLLADNB_03358, 2506520024_2506669364, 2506520024_2506672081, 2767802455_NHBDKAOG_03814, 2506520024_2506671112, 2506520024_2506670856, 2767802455_NHBDKAOG_01839, 2767802455_NHBDKAOG_04710, GCA_000310125_2_lcl|AMXB01000009.1_prot_ENO81770.1_1261, 2506520024_2506672515, 2506520024_2506671271, 2506520024_2506670964, 2506520024_2506671552, 2506520024_2506670612, 2767802455_NHBDKAOG_03221, 2767802316_GNJGOIBN_02552, Reactor4-bin_4_CEKMHFBL_01587, 2506520024_2506671369, 2767802455_NHBDKAOG_00175, 2506520024_2506670717, 2506520024_2506670288, 2506520024_2506670543, 2506520024_2506670793, 2506520024_2506670500, GCA_000310125_2_lcl|AMXB01000013.1_prot_ENO81282.1_1820, 2506520024_2506671674, 2506520024_2506669839, spades-bin_32_BBLLADNB_01430, 2687453699_PEBOPBNB_00340, GCA_000310125_2_lcl|AMXB01000006.1_prot_ENO82213.1_817
OG0000000	N0	n1	0.3333333333333333	Non-Terminal	2506520024_2506669952, 2506520024_2506669502, 2506520024_2506670816, 2506520024_2506669956, 2506520024_2506672076, GCA_000310125_2_lcl|AMXB01000057.1_prot_ENO75276.1_3996, 2506520024_2506669534, 2506520024_2506669830, 2506520024_2506670515, 2767802455_NHBDKAOG_04722, Reactor4-bin_4_CEKMHFBL_00104, spades-bin_32_BBLLADNB_01887, 2687453699_PEBOPBNB_00160, Reactor4-bin_4_CEKMHFBL_02338, 2767802455_NHBDKAOG_00465, 2687453699_PEBOPBNB_00161, spades-bin_32_BBLLADNB_01888, GCA_000310125_2_lcl|AMXB01000059.1_prot_ENO75197.1_4017	644736333_MCBBHCNB_04024, 2767802316_GNJGOIBN_03738, spades-bin_32_BBLLADNB_00941, 2506520024_2506672246, GCA_000310125_2_lcl|AMXB01000040.1_prot_ENO76352.1_3557
OG0000000	N0	n2	0.1111111111111111	Non-Terminal	2506520024_2506669952	2506520024_2506669502, 2506520024_2506670816, 2506520024_2506669956, 2506520024_2506672076, GCA_000310125_2_lcl|AMXB01000057.1_prot_ENO75276.1_3996, 2506520024_2506669534, 2506520024_2506669830, 2506520024_2506670515, 2767802455_NHBDKAOG_04722, Reactor4-bin_4_CEKMHFBL_00104, spades-bin_32_BBLLADNB_01887, 2687453699_PEBOPBNB_00160, Reactor4-bin_4_CEKMHFBL_02338, 2767802455_NHBDKAOG_00465, 2687453699_PEBOPBNB_00161, spades-bin_32_BBLLADNB_01888, GCA_000310125_2_lcl|AMXB01000059.1_prot_ENO75197.1_4017
OG0000000	N0	n3	0.2222222222222222	Non-Terminal	2506520024_2506669502, 2506520024_2506670816, 2506520024_2506669956, 2506520024_2506672076, GCA_000310125_2_lcl|AMXB01000057.1_prot_ENO75276.1_3996	2506520024_2506669534, 2506520024_2506669830, 2506520024_2506670515, 2767802455_NHBDKAOG_04722, Reactor4-bin_4_CEKMHFBL_00104, spades-bin_32_BBLLADNB_01887, 2687453699_PEBOPBNB_00160, Reactor4-bin_4_CEKMHFBL_02338, 2767802455_NHBDKAOG_00465, 2687453699_PEBOPBNB_00161, spades-bin_32_BBLLADNB_01888, GCA_000310125_2_lcl|AMXB01000059.1_prot_ENO75197.1_4017
OG0000000	2506520024	n5	1.0	Terminal	2506520024_2506669502	2506520024_2506670816, 2506520024_2506669956, 2506520024_2506672076
OG0000000	2506520024	n6	1.0	Terminal	2506520024_2506670816	2506520024_2506669956, 2506520024_2506672076
OG0000000	2506520024	n7	1.0	Terminal	2506520024_2506669956	2506520024_2506672076
OG0000000	2506520024	n9	1.0	Terminal	2506520024_2506669534, 2506520024_2506669830	2506520024_2506670515
OG0000000	2506520024	n10	1.0	Terminal	2506520024_2506669534	2506520024_2506669830
OG0000000	N2	n12	0.42857142857142855	Non-Terminal	2767802455_NHBDKAOG_04722, Reactor4-bin_4_CEKMHFBL_00104, spades-bin_32_BBLLADNB_01887, 2687453699_PEBOPBNB_00160, Reactor4-bin_4_CEKMHFBL_02338	2767802455_NHBDKAOG_00465, 2687453699_PEBOPBNB_00161, spades-bin_32_BBLLADNB_01888
