Orthogroup	2506520024	2687453699	2767802316	2767802455	644736333	GCA_000310125.2	GCA_003332265.1	Reactor4-bin.4	spades-bin.32	Total
OG0000000	39	6	8	18	7	9	1	10	7	105
OG0000001	13	3	3	3	4	4	3	2	3	38
OG0000002	0	0	0	0	0	36	0	0	0	36
OG0000003	28	0	1	0	1	1	1	0	1	33
OG0000004	0	0	4	17	4	0	6	2	0	33
OG0000005	0	11	3	2	3	0	2	3	8	32
OG0000006	0	1	0	3	21	0	4	0	2	31
OG0000007	6	2	3	3	3	5	4	2	2	30
OG0000008	1	3	5	4	5	1	4	4	3	30
OG0000009	2	5	4	1	4	2	0	5	4	27
OG0000010	9	1	1	2	2	6	2	2	1	26
OG0000011	3	9	0	0	1	1	4	0	8	26
OG0000012	2	2	4	2	4	3	3	4	2	26
OG0000013	19	0	1	1	1	2	1	0	0	25
OG0000014	2	2	2	4	2	4	2	4	3	25
OG0000015	0	1	0	0	20	0	1	2	1	25
OG0000016	0	1	0	1	20	0	1	0	2	25
OG0000017	0	0	6	10	6	0	0	3	0	25
OG0000018	1	2	3	4	3	4	2	3	2	24
OG0000019	0	2	1	6	1	0	4	9	1	24
OG0000020	2	3	3	2	3	0	4	4	2	23
OG0000021	1	2	3	2	3	1	4	4	3	23
OG0000022	1	2	4	3	3	1	3	3	3	23
OG0000023	0	0	2	10	2	1	3	4	1	23
OG0000024	3	2	1	4	5	3	1	2	1	22
OG0000025	2	3	2	2	2	2	1	6	2	22
OG0000026	1	3	3	3	4	2	3	0	3	22
OG0000027	1	3	4	2	3	1	2	3	3	22
OG0000028	2	2	2	3	5	3	1	2	2	22
OG0000029	0	1	1	12	4	0	1	2	1	22
OG0000030	0	2	3	3	3	1	3	5	2	22
OG0000031	4	3	1	1	1	2	3	3	3	21
OG0000032	12	1	1	1	1	2	1	1	1	21
OG0000033	1	3	2	2	2	1	3	3	4	21
OG0000034	0	3	0	3	9	1	1	1	3	21
OG0000035	0	0	2	7	2	0	7	3	0	21
OG0000036	3	2	2	2	2	3	2	2	2	20
OG0000037	2	2	3	2	2	2	2	3	2	20
OG0000038	3	2	2	2	2	2	3	2	2	20
OG0000039	3	2	3	3	2	2	1	2	2	20
OG0000040	1	0	1	2	1	13	0	2	0	20
OG0000041	0	1	4	5	4	0	1	4	1	20
OG0000042	2	2	2	2	2	3	2	2	2	19
OG0000043	3	2	2	2	2	2	2	2	2	19
OG0000044	1	3	2	1	2	4	1	2	3	19
OG0000045	2	3	2	1	4	1	3	1	2	19
OG0000046	1	3	2	2	2	3	2	3	1	19
OG0000047	0	1	2	3	2	7	2	1	1	19
OG0000048	0	0	0	1	16	0	1	0	1	19
OG0000049	1	3	2	5	2	0	1	2	2	18
OG0000050	4	2	1	1	4	3	0	2	1	18
OG0000051	2	2	2	4	2	1	2	2	1	18
OG0000052	2	2	2	1	2	3	1	2	3	18
OG0000053	0	2	1	6	1	0	3	4	1	18
OG0000054	0	3	2	1	2	0	3	4	3	18
OG0000055	0	0	1	11	4	0	0	0	2	18
OG0000056	0	0	0	11	1	0	1	4	1	18
OG0000057	1	2	2	3	2	1	2	2	2	17
OG0000058	2	2	2	2	2	2	2	2	1	17
OG0000059	2	2	2	1	2	2	3	1	2	17
OG0000060	1	3	1	1	1	4	2	1	3	17
OG0000061	2	1	2	2	2	2	4	1	1	17
