target_id	length	eff_length	est_counts	tpm
2767802316_GNJGOIBN_00001	1455	1304.82	29	0.716727
2767802316_GNJGOIBN_00002	225	83.916	0	0
2767802316_GNJGOIBN_00003	198	62.0146	0	0
2767802316_GNJGOIBN_00004	726	575.821	0	0
2767802316_GNJGOIBN_00005	987	836.821	0	0
2767802316_GNJGOIBN_00006	837	686.821	0	0
2767802316_GNJGOIBN_00007	669	518.821	0	0
2767802316_GNJGOIBN_00008	1071	920.821	0	0
2767802316_GNJGOIBN_00009	564	413.821	241	18.7807
2767802316_GNJGOIBN_00010	1560	1409.82	16	0.365984
2767802316_GNJGOIBN_00011	1755	1604.82	2	0.0401893
2767802316_GNJGOIBN_00012	333	184.136	0	0
2767802316_GNJGOIBN_00013	1722	1571.82	36	0.738595
2767802316_GNJGOIBN_00014	930	779.821	4	0.165414
2767802316_GNJGOIBN_00015	561	410.821	118	9.26266
2767802316_GNJGOIBN_00016	759	608.821	66	3.49591
2767802316_GNJGOIBN_00017	1773	1622.82	6	0.11923
2767802316_GNJGOIBN_00018	1035	884.821	7	0.255123
2767802316_GNJGOIBN_00019	1374	1223.82	27	0.711463
2767802316_GNJGOIBN_00020	780	629.821	2	0.102405
2767802316_GNJGOIBN_00021	762	611.821	6	0.316252
2767802316_GNJGOIBN_00022	1377	1226.82	7	0.184002
2767802316_GNJGOIBN_00023	1683	1532.82	51	1.07296
2767802316_GNJGOIBN_00024	210	71.348	9	4.06787
2767802316_GNJGOIBN_00025	1422	1271.82	53	1.34387
2767802316_GNJGOIBN_00026	1131	980.821	53	1.74258
2767802316_GNJGOIBN_00027	2469	2318.82	56	0.778803
2767802316_GNJGOIBN_00028	822	671.821	22	1.05603
2767802316_GNJGOIBN_00029	636	485.821	7	0.464652
2767802316_GNJGOIBN_00030	702	551.821	0	0
2767802316_GNJGOIBN_00031	1446	1295.82	2	0.0497727
2767802316_GNJGOIBN_00032	567	416.821	2	0.154734
2767802316_GNJGOIBN_00033	405	255.154	1	0.126388
2767802316_GNJGOIBN_00034	357	207.635	2	0.310624
2767802316_GNJGOIBN_00035	1329	1178.82	4	0.109426
2767802316_GNJGOIBN_00036	792	641.821	1	0.050245
2767802316_GNJGOIBN_00037	762	611.821	1	0.0527087
2767802316_GNJGOIBN_00038	684	533.821	35	2.11436
2767802316_GNJGOIBN_00039	2472	2321.82	15	0.208338
2767802316_GNJGOIBN_00040	2049	1898.82	67	1.13788
2767802316_GNJGOIBN_00041	2298	2147.82	52	0.78075
2767802316_GNJGOIBN_00042	76	9.1625	145.922	513.586
2767802316_GNJGOIBN_00043	76	9.1625	91.5485	322.214
2767802316_GNJGOIBN_00044	1560	1409.82	176	4.02583
2767802316_GNJGOIBN_00045	276	129.562	7	1.74232
2767802316_GNJGOIBN_00046	327	178.336	32	5.78653
2767802316_GNJGOIBN_00047	906	755.821	61	2.60266
2767802316_GNJGOIBN_00048	312	163.817	52	10.2365
2767802316_GNJGOIBN_00049	306	158.06	33	6.73284
2767802316_GNJGOIBN_00050	609	458.821	88	6.18509
2767802316_GNJGOIBN_00051	291	143.61	582	130.691
2767802316_GNJGOIBN_00052	495	344.897	66	6.17108
2767802316_GNJGOIBN_00053	597	446.821	28	2.02084
2767802316_GNJGOIBN_00054	2994	2843.82	140	1.58757
2767802316_GNJGOIBN_00055	684	533.821	59	3.56421
2767802316_GNJGOIBN_00056	1917	1766.82	72.1178	1.31631
2767802316_GNJGOIBN_00057	2862	2711.82	18	0.214051
2767802316_GNJGOIBN_00058	1152	1001.82	15	0.482845
2767802316_GNJGOIBN_00059	705	554.821	6	0.348742
2767802316_GNJGOIBN_00060	333	184.136	8	1.40107
2767802316_GNJGOIBN_00061	768	617.821	5	0.260984
2767802316_GNJGOIBN_00062	912	761.821	5	0.211653
2767802316_GNJGOIBN_00063	2598	2447.82	117.226	1.54436
2767802316_GNJGOIBN_00064	450	300.022	7	0.752406
2767802316_GNJGOIBN_00065	1152	1001.82	6	0.193138
2767802316_GNJGOIBN_00066	1020	869.821	48	1.77958
2767802316_GNJGOIBN_00067	504	353.897	32	2.91595
2767802316_GNJGOIBN_00068	927	776.821	10	0.415131
2767802316_GNJGOIBN_00069	849	698.821	16	0.738347
2767802316_GNJGOIBN_00070	849	698.821	2	0.0922934
2767802316_GNJGOIBN_00071	909	758.821	3	0.127494
2767802316_GNJGOIBN_00072	1329	1178.82	43	1.17632
2767802316_GNJGOIBN_00073	636	485.821	1	0.0663789
2767802316_GNJGOIBN_00074	2154	2003.82	8	0.128747
2767802316_GNJGOIBN_00075	1257	1106.82	12	0.349631
2767802316_GNJGOIBN_00076	1431	1280.82	15	0.377667
2767802316_GNJGOIBN_00077	1455	1304.82	9	0.222432
2767802316_GNJGOIBN_00078	1461	1310.82	8	0.196813
2767802316_GNJGOIBN_00079	1500	1349.82	16	0.382253
2767802316_GNJGOIBN_00080	348	198.656	9	1.46099
2767802316_GNJGOIBN_00081	396	246.154	13	1.70311
2767802316_GNJGOIBN_00082	438	288.022	22	2.46323
2767802316_GNJGOIBN_00083	1080	929.821	5	0.173411
2767802316_GNJGOIBN_00084	2025	1874.82	0	0
2767802316_GNJGOIBN_00085	1539	1388.82	2	0.0464398
2767802316_GNJGOIBN_00086	1239	1088.82	3	0.0888529
2767802316_GNJGOIBN_00087	1200	1049.82	0	0
2767802316_GNJGOIBN_00088	966	815.821	4	0.158114
2767802316_GNJGOIBN_00089	1059	908.821	42	1.49031
2767802316_GNJGOIBN_00090	576	425.821	15	1.13598
2767802316_GNJGOIBN_00091	1071	920.821	9	0.315191
2767802316_GNJGOIBN_00092	1632	1481.82	125	2.72033
2767802316_GNJGOIBN_00093	177	46.8789	13	8.94277
2767802316_GNJGOIBN_00094	816	665.821	22	1.06554
2767802316_GNJGOIBN_00095	1326	1175.82	12	0.329114
2767802316_GNJGOIBN_00096	1395	1244.82	4	0.103624
2767802316_GNJGOIBN_00097	852	701.821	6	0.275697
2767802316_GNJGOIBN_00098	2055	1904.82	37	0.626404
2767802316_GNJGOIBN_00099	1182	1031.82	5	0.156269
2767802316_GNJGOIBN_00100	3171	3020.82	18	0.192156
2767802316_GNJGOIBN_00101	675	524.821	30.0926	1.84908
2767802316_GNJGOIBN_00102	2565	2414.82	24	0.320504
2767802316_GNJGOIBN_00103	651	500.821	57	3.67028
2767802316_GNJGOIBN_00104	1248	1097.82	37	1.08687
2767802316_GNJGOIBN_00105	225	83.916	8	3.07434
2767802316_GNJGOIBN_00106	1104	953.821	30	1.01429
2767802316_GNJGOIBN_00107	615	464.821	8	0.555023
2767802316_GNJGOIBN_00108	798	647.821	12	0.597355
2767802316_GNJGOIBN_00109	1029	878.821	23	0.843984
2767802316_GNJGOIBN_00110	201	64.3508	6	3.0068
2767802316_GNJGOIBN_00111	1113	962.821	22	0.736858
2767802316_GNJGOIBN_00112	1134	983.821	18	0.590015
2767802316_GNJGOIBN_00113	1248	1097.82	11	0.323123
2767802316_GNJGOIBN_00114	966	815.821	3	0.118586
2767802316_GNJGOIBN_00115	561	410.821	4	0.313989
2767802316_GNJGOIBN_00116	1932	1781.82	10	0.180985
2767802316_GNJGOIBN_00117	426	276.05	8	0.934563
2767802316_GNJGOIBN_00118	387	237.299	3	0.407693
2767802316_GNJGOIBN_00119	1899	1748.82	11	0.20284
2767802316_GNJGOIBN_00120	1410	1259.82	51	1.30547
2767802316_GNJGOIBN_00121	588	437.821	246	18.1194
2767802316_GNJGOIBN_00122	222	81.4855	6	2.37453
2767802316_GNJGOIBN_00123	315	166.684	40	7.73879
2767802316_GNJGOIBN_00124	1206	1055.82	9	0.27489
2767802316_GNJGOIBN_00125	2874	2723.82	8	0.0947149
2767802316_GNJGOIBN_00126	285	137.909	66	15.4333
2767802316_GNJGOIBN_00127	510	359.897	54	4.83863
2767802316_GNJGOIBN_00128	183	51.0806	25	15.783
2767802316_GNJGOIBN_00129	76	9.1625	22.3628	78.7079
2767802316_GNJGOIBN_00130	1443	1292.82	10	0.249441
2767802316_GNJGOIBN_00131	459	308.961	21	2.19191
2767802316_GNJGOIBN_00132	2928	2777.82	1	0.0116092
2767802316_GNJGOIBN_00133	216	76.3506	1	0.422371
2767802316_GNJGOIBN_00134	336	187.061	0	0
2767802316_GNJGOIBN_00135	447	297.022	0	0
2767802316_GNJGOIBN_00136	1503	1352.82	1	0.0238378
2767802316_GNJGOIBN_00137	1119	968.821	0	0
2767802316_GNJGOIBN_00138	3090	2939.82	3	0.0329084
2767802316_GNJGOIBN_00139	657	506.821	0	0
2767802316_GNJGOIBN_00140	141	25.3517	0	0
2767802316_GNJGOIBN_00141	1461	1310.82	0	0
2767802316_GNJGOIBN_00142	1128	977.821	0	0
2767802316_GNJGOIBN_00143	1917	1766.82	30.5562	0.557717
2767802316_GNJGOIBN_00144	834	683.821	0	0
2767802316_GNJGOIBN_00145	906	755.821	1	0.0426666
2767802316_GNJGOIBN_00146	1440	1289.82	3	0.0750064
2767802316_GNJGOIBN_00147	684	533.821	45	2.71846
2767802316_GNJGOIBN_00148	1350	1199.82	1	0.0268776
2767802316_GNJGOIBN_00149	1350	1199.82	0	0
2767802316_GNJGOIBN_00150	3132	2981.82	679.781	7.3518
2767802316_GNJGOIBN_00151	912	761.821	3	0.126992
2767802316_GNJGOIBN_00152	1239	1088.82	2	0.0592352
2767802316_GNJGOIBN_00153	618	467.821	7	0.482531
2767802316_GNJGOIBN_00154	3735	3584.82	11	0.0989537
2767802316_GNJGOIBN_00155	2913	2762.82	9	0.10505
2767802316_GNJGOIBN_00156	1029	878.821	1	0.0366949
2767802316_GNJGOIBN_00157	1227	1076.82	7	0.209634
2767802316_GNJGOIBN_00158	573	422.821	2	0.152539
2767802316_GNJGOIBN_00159	888	737.821	0	0
2767802316_GNJGOIBN_00160	3183	3032.82	8.39503	0.0892652
2767802316_GNJGOIBN_00161	375	225.484	2	0.286036
2767802316_GNJGOIBN_00162	462	311.961	1	0.103373
2767802316_GNJGOIBN_00163	1455	1304.82	0	0
2767802316_GNJGOIBN_00164	3171	3020.82	8	0.0854027
2767802316_GNJGOIBN_00165	1131	980.821	3	0.0986366
2767802316_GNJGOIBN_00166	1011	860.821	0	0
2767802316_GNJGOIBN_00167	393	243.203	0	0
2767802316_GNJGOIBN_00168	666	515.821	11	0.687702
2767802316_GNJGOIBN_00169	207	68.8836	25	11.7039
2767802316_GNJGOIBN_00170	870	719.821	133	5.95846
2767802316_GNJGOIBN_00171	522	371.86	10	0.867216
2767802316_GNJGOIBN_00172	1455	1304.82	2	0.0494294
2767802316_GNJGOIBN_00173	1452	1301.82	2	0.0495434
2767802316_GNJGOIBN_00174	1461	1310.82	7	0.172211
2767802316_GNJGOIBN_00175	765	614.821	7	0.36716
2767802316_GNJGOIBN_00176	711	560.821	11	0.632521
2767802316_GNJGOIBN_00177	1095	944.821	20	0.682633
2767802316_GNJGOIBN_00178	1221	1070.82	10	0.301155
2767802316_GNJGOIBN_00179	1593	1442.82	1	0.0223509
2767802316_GNJGOIBN_00180	2487	2336.82	4	0.0552003
2767802316_GNJGOIBN_00181	456	305.961	0	0
2767802316_GNJGOIBN_00182	1359	1208.82	0	0
2767802316_GNJGOIBN_00183	294	146.521	0	0
2767802316_GNJGOIBN_00184	468	317.93	0	0
2767802316_GNJGOIBN_00185	630	479.821	0	0
2767802316_GNJGOIBN_00186	1707	1556.82	19.0686	0.39499
2767802316_GNJGOIBN_00187	270	123.974	12	3.12145
2767802316_GNJGOIBN_00188	1596	1445.82	9	0.20074
2767802316_GNJGOIBN_00189	1002	851.821	3	0.113574
2767802316_GNJGOIBN_00190	342	192.852	1	0.167218
2767802316_GNJGOIBN_00191	780	629.821	17	0.870439
2767802316_GNJGOIBN_00192	471	320.93	1	0.100484
2767802316_GNJGOIBN_00193	174	44.8959	41.0664	29.4976
2767802316_GNJGOIBN_00194	1455	1304.82	14	0.346006
2767802316_GNJGOIBN_00195	315	166.684	0	0
2767802316_GNJGOIBN_00196	1011	860.821	0	0
2767802316_GNJGOIBN_00197	837	686.821	0	0
2767802316_GNJGOIBN_00198	894	743.821	1	0.0433549
2767802316_GNJGOIBN_00199	1068	917.821	3	0.105407
2767802316_GNJGOIBN_00200	936	785.821	0	0
2767802316_GNJGOIBN_00201	372	222.484	14	2.02925
2767802316_GNJGOIBN_00202	420	270.05	7	0.835911
2767802316_GNJGOIBN_00203	74	8.90769	23.7026	85.8099
2767802316_GNJGOIBN_00204	1794	1643.82	38	0.74548
2767802316_GNJGOIBN_00205	801	650.821	6	0.297301
2767802316_GNJGOIBN_00206	1110	959.821	10	0.335982
2767802316_GNJGOIBN_00207	345	195.794	16	2.63529
2767802316_GNJGOIBN_00208	918	767.821	9	0.377998
