target_id	length	eff_length	est_counts	tpm
2767802316_GNJGOIBN_00001	1455	1314.22	14	0.508451
2767802316_GNJGOIBN_00002	225	91.5953	0	0
2767802316_GNJGOIBN_00003	198	68.7017	0	0
2767802316_GNJGOIBN_00004	726	585.221	0	0
2767802316_GNJGOIBN_00005	987	846.221	1	0.0564034
2767802316_GNJGOIBN_00006	837	696.221	0	0
2767802316_GNJGOIBN_00007	669	528.221	0	0
2767802316_GNJGOIBN_00008	1071	930.221	1	0.0513101
2767802316_GNJGOIBN_00009	564	423.221	156	17.5933
2767802316_GNJGOIBN_00010	1560	1419.22	12	0.403572
2767802316_GNJGOIBN_00011	1755	1614.22	4	0.118273
2767802316_GNJGOIBN_00012	333	193.096	1	0.247181
2767802316_GNJGOIBN_00013	1722	1581.22	31	0.935747
2767802316_GNJGOIBN_00014	930	789.221	4	0.241908
2767802316_GNJGOIBN_00015	561	420.221	21	2.38523
2767802316_GNJGOIBN_00016	759	618.221	14	1.08087
2767802316_GNJGOIBN_00017	1773	1632.22	5	0.146211
2767802316_GNJGOIBN_00018	1035	894.221	4	0.213503
2767802316_GNJGOIBN_00019	1374	1233.22	10	0.387033
2767802316_GNJGOIBN_00020	780	639.221	3	0.224006
2767802316_GNJGOIBN_00021	762	621.221	6	0.460993
2767802316_GNJGOIBN_00022	1377	1236.22	4	0.154438
2767802316_GNJGOIBN_00023	1683	1542.22	14	0.433282
2767802316_GNJGOIBN_00024	210	78.8591	3	1.81576
2767802316_GNJGOIBN_00025	1422	1281.22	38	1.41563
2767802316_GNJGOIBN_00026	1131	990.221	29	1.39783
2767802316_GNJGOIBN_00027	2469	2328.22	45	0.922524
2767802316_GNJGOIBN_00028	822	681.221	13	0.910845
2767802316_GNJGOIBN_00029	636	495.221	7	0.674665
2767802316_GNJGOIBN_00030	702	561.221	1	0.0850463
2767802316_GNJGOIBN_00031	1446	1305.22	2	0.0731367
2767802316_GNJGOIBN_00032	567	426.221	0	0
2767802316_GNJGOIBN_00033	405	264.403	0	0
2767802316_GNJGOIBN_00034	357	216.875	1	0.220079
2767802316_GNJGOIBN_00035	1329	1188.22	14	0.562367
2767802316_GNJGOIBN_00036	792	651.221	0	0
2767802316_GNJGOIBN_00037	762	621.221	6	0.460993
2767802316_GNJGOIBN_00038	684	543.221	13	1.14224
2767802316_GNJGOIBN_00039	2472	2331.22	18	0.368535
2767802316_GNJGOIBN_00040	2049	1908.22	43	1.07555
2767802316_GNJGOIBN_00041	2298	2157.22	28	0.619516
