Orthogroup	GCA_000310125.2	spades-bin.32
OG0000000	lcl|AMXB01000059.1_prot_ENO75197.1_4017	BBLLADNB_01887, BBLLADNB_01888
OG0000000	lcl|AMXB01000040.1_prot_ENO76352.1_3557	BBLLADNB_00941
OG0000000	lcl|AMXB01000044.1_prot_ENO76101.1_3704	BBLLADNB_02136
OG0000000	lcl|AMXB01000009.1_prot_ENO81770.1_1261	BBLLADNB_03358
OG0000001	lcl|AMXB01000009.1_prot_ENO81772.1_1263	BBLLADNB_03360
OG0000001	lcl|AMXB01000034.1_prot_ENO77039.1_3274	BBLLADNB_03667
OG0000003	lcl|AMXB01000023.1_prot_ENO79296.1_2604	BBLLADNB_02283
OG0000007	lcl|AMXB01000001.1_prot_ENO83277.1_150	BBLLADNB_02365
OG0000007	lcl|AMXB01000010.1_prot_ENO81610.1_1378	BBLLADNB_02048
OG0000009	lcl|AMXB01000004.1_prot_ENO82573.1_532	BBLLADNB_00222
OG0000010	lcl|AMXB01000003.1_prot_ENO82760.1_402, lcl|AMXB01000012.1_prot_ENO81321.1_1624, lcl|AMXB01000009.1_prot_ENO81857.1_1348	BBLLADNB_03377
OG0000011	lcl|AMXB01000002.1_prot_ENO83078.1_338	BBLLADNB_00442, BBLLADNB_00454, BBLLADNB_03054, BBLLADNB_00011, BBLLADNB_00010, BBLLADNB_00439, BBLLADNB_00438, BBLLADNB_00014
OG0000012	lcl|AMXB01000008.1_prot_ENO81989.1_1217, lcl|AMXB01000043.1_prot_ENO76132.1_3674	BBLLADNB_00395
OG0000014	lcl|AMXB01000058.1_prot_ENO75235.1_4006, lcl|AMXB01000004.1_prot_ENO82568.1_527	BBLLADNB_03006, BBLLADNB_00625
OG0000018	lcl|AMXB01000025.1_prot_ENO78743.1_2768, lcl|AMXB01000009.1_prot_ENO81803.1_1294	BBLLADNB_02917
OG0000018	lcl|AMXB01000029.1_prot_ENO77786.1_3043	BBLLADNB_03302
OG0000021	lcl|AMXB01000043.1_prot_ENO76133.1_3675	BBLLADNB_02362
OG0000022	lcl|AMXB01000043.1_prot_ENO76134.1_3676	BBLLADNB_02895, BBLLADNB_02361, BBLLADNB_00397
OG0000023	lcl|AMXB01000041.1_prot_ENO76265.1_3603	BBLLADNB_02415
OG0000024	lcl|AMXB01000008.1_prot_ENO82014.1_1242	BBLLADNB_01074
OG0000025	lcl|AMXB01000004.1_prot_ENO82587.1_546	BBLLADNB_00234
OG0000025	lcl|AMXB01000004.1_prot_ENO82564.1_523	BBLLADNB_00232
OG0000026	lcl|AMXB01000011.1_prot_ENO81528.1_1584	BBLLADNB_03813, BBLLADNB_01144
OG0000026	lcl|AMXB01000027.1_prot_ENO78223.1_2859	BBLLADNB_01301
OG0000027	lcl|AMXB01000010.1_prot_ENO81695.1_1463	BBLLADNB_00516, BBLLADNB_03780, BBLLADNB_02016
OG0000028	lcl|AMXB01000056.1_prot_ENO75316.1_3978	BBLLADNB_03701
OG0000028	lcl|AMXB01000049.1_prot_ENO75689.1_3828	BBLLADNB_03481
OG0000030	lcl|AMXB01000039.1_prot_ENO76438.1_3514	BBLLADNB_02770, BBLLADNB_03769
OG0000031	lcl|AMXB01000010.1_prot_ENO81589.1_1357	BBLLADNB_02526
OG0000031	lcl|AMXB01000004.1_prot_ENO82693.1_652	BBLLADNB_02574, BBLLADNB_02737
OG0000032	lcl|AMXB01000042.1_prot_ENO76224.1_3641	BBLLADNB_02940
OG0000033	lcl|AMXB01000003.1_prot_ENO82797.1_439	BBLLADNB_02789, BBLLADNB_01869, BBLLADNB_01136, BBLLADNB_01722
OG0000034	lcl|AMXB01000037.1_prot_ENO76690.1_3429	BBLLADNB_01062, BBLLADNB_03824, BBLLADNB_01056
OG0000036	lcl|AMXB01000009.1_prot_ENO81818.1_1309	BBLLADNB_00050
OG0000036	lcl|AMXB01000009.1_prot_ENO81816.1_1307	BBLLADNB_03688
OG0000037	lcl|AMXB01000021.1_prot_ENO80041.1_2487	BBLLADNB_02512
OG0000037	lcl|AMXB01000008.1_prot_ENO81881.1_1109	BBLLADNB_01720
OG0000038	lcl|AMXB01000003.1_prot_ENO82863.1_505, lcl|AMXB01000051.1_prot_ENO75556.1_3865	BBLLADNB_01016, BBLLADNB_01017
OG0000042	lcl|AMXB01000051.1_prot_ENO75565.1_3874	BBLLADNB_00833
OG0000042	lcl|AMXB01000013.1_prot_ENO81198.1_1736	BBLLADNB_03740
OG0000043	lcl|AMXB01000065.1_prot_ENO74951.1_4088	BBLLADNB_03212
OG0000043	lcl|AMXB01000018.1_prot_ENO80740.1_2298	BBLLADNB_03100
OG0000044	lcl|AMXB01000008.1_prot_ENO82005.1_1233	BBLLADNB_01902
OG0000044	lcl|AMXB01000069.1_prot_ENO74824.1_4138	BBLLADNB_02029
OG0000044	lcl|AMXB01000045.1_prot_ENO75994.1_3713	BBLLADNB_01428
OG0000045	lcl|AMXB01000002.1_prot_ENO82952.1_212	BBLLADNB_00254
OG0000046	lcl|AMXB01000029.1_prot_ENO77783.1_3040	BBLLADNB_03304
OG0000047	lcl|AMXB01000014.1_prot_ENO81112.1_1876, lcl|AMXB01000008.1_prot_ENO81994.1_1222, lcl|AMXB01000009.1_prot_ENO81756.1_1247	BBLLADNB_01205
OG0000050	lcl|AMXB01000092.1_prot_ENO74452.1_4254	BBLLADNB_03871
OG0000051	lcl|AMXB01000048.1_prot_ENO75735.1_3785	BBLLADNB_03799
OG0000052	lcl|AMXB01000011.1_prot_ENO81537.1_1593, lcl|AMXB01000011.1_prot_ENO81531.1_1587	BBLLADNB_00641
OG0000052	lcl|AMXB01000013.1_prot_ENO81269.1_1807	BBLLADNB_01564
OG0000057	lcl|AMXB01000003.1_prot_ENO82804.1_446	BBLLADNB_03571, BBLLADNB_02559
OG0000059	lcl|AMXB01000015.1_prot_ENO81034.1_2006	BBLLADNB_02843
OG0000059	lcl|AMXB01000008.1_prot_ENO81902.1_1130	BBLLADNB_03386
OG0000060	lcl|AMXB01000061.1_prot_ENO75109.1_4037, lcl|AMXB01000004.1_prot_ENO82658.1_617, lcl|AMXB01000011.1_prot_ENO81536.1_1592	BBLLADNB_02117
OG0000060	lcl|AMXB01000033.1_prot_ENO77190.1_3241	BBLLADNB_02996, BBLLADNB_01044
OG0000061	lcl|AMXB01000067.1_prot_ENO74875.1_4119, lcl|AMXB01000037.1_prot_ENO76677.1_3416	BBLLADNB_02719
OG0000062	lcl|AMXB01000047.1_prot_ENO75817.1_3776	BBLLADNB_02809, BBLLADNB_02808
OG0000063	lcl|AMXB01000029.1_prot_ENO77797.1_3054	BBLLADNB_03591, BBLLADNB_01762
OG0000064	lcl|AMXB01000037.1_prot_ENO76674.1_3413	BBLLADNB_03384
OG0000064	lcl|AMXB01000067.1_prot_ENO74874.1_4118, lcl|AMXB01000026.1_prot_ENO78484.1_2827	BBLLADNB_01223
OG0000067	lcl|AMXB01000003.1_prot_ENO82824.1_466	BBLLADNB_02664, BBLLADNB_03776
OG0000068	lcl|AMXB01000049.1_prot_ENO75670.1_3809, lcl|AMXB01000049.1_prot_ENO75677.1_3816	BBLLADNB_03159
OG0000070	lcl|AMXB01000034.1_prot_ENO77063.1_3298	BBLLADNB_01895, BBLLADNB_03107, BBLLADNB_03662
OG0000070	lcl|AMXB01000008.1_prot_ENO82012.1_1240	BBLLADNB_02366
OG0000072	lcl|AMXB01000018.1_prot_ENO80733.1_2291	BBLLADNB_00868
OG0000073	lcl|AMXB01000019.1_prot_ENO80597.1_2315	BBLLADNB_01613
OG0000074	lcl|AMXB01000004.1_prot_ENO82576.1_535	BBLLADNB_00364
OG0000075	lcl|AMXB01000007.1_prot_ENO82111.1_1030	BBLLADNB_01834, BBLLADNB_00307
OG0000077	lcl|AMXB01000049.1_prot_ENO75693.1_3832, lcl|AMXB01000057.1_prot_ENO75274.1_3994	BBLLADNB_00643, BBLLADNB_02286, BBLLADNB_01199
OG0000078	lcl|AMXB01000058.1_prot_ENO75237.1_4008	BBLLADNB_00755, BBLLADNB_00766
OG0000079	lcl|AMXB01000014.1_prot_ENO81093.1_1857	BBLLADNB_03718
OG0000079	lcl|AMXB01000053.1_prot_ENO75486.1_3928	BBLLADNB_03593
OG0000080	lcl|AMXB01000038.1_prot_ENO76545.1_3455, lcl|AMXB01000086.1_prot_ENO74497.1_4243, lcl|AMXB01000019.1_prot_ENO80595.1_2313, lcl|AMXB01000006.1_prot_ENO82265.1_869, lcl|AMXB01000006.1_prot_ENO82305.1_909, lcl|AMXB01000072.1_prot_ENO74747.1_4175, lcl|AMXB01000044.1_prot_ENO76090.1_3693, lcl|AMXB01000007.1_prot_ENO82076.1_995	BBLLADNB_00466, BBLLADNB_01441
OG0000081	lcl|AMXB01000031.1_prot_ENO77423.1_3157	BBLLADNB_01674
OG0000083	lcl|AMXB01000008.1_prot_ENO81943.1_1171	BBLLADNB_02141, BBLLADNB_02028
OG0000084	lcl|AMXB01000017.1_prot_ENO80791.1_2188	BBLLADNB_02835, BBLLADNB_03705
OG0000085	lcl|AMXB01000074.1_prot_ENO74682.1_4197, lcl|AMXB01000053.1_prot_ENO75475.1_3917	BBLLADNB_03162, BBLLADNB_00836
