Orthogroup	2767802455	2506520024
OG0000000	NHBDKAOG_04722, NHBDKAOG_00465	2506669534, 2506669830, 2506670515
OG0000000	NHBDKAOG_01300	2506669851
OG0000000	NHBDKAOG_00494, NHBDKAOG_01578	2506670747
OG0000000	NHBDKAOG_03134	2506669499
OG0000000	NHBDKAOG_00493	2506670695, 2506671840, 2506669459
OG0000000	NHBDKAOG_03814	2506671112
OG0000000	NHBDKAOG_01839	2506670856
OG0000000	NHBDKAOG_03221	2506671369
OG0000000	NHBDKAOG_00175	2506670717, 2506670288, 2506670543, 2506670793, 2506670500
OG0000001	NHBDKAOG_04715, NHBDKAOG_01601	2506670855
OG0000001	NHBDKAOG_04607	2506671842, 2506670514
OG0000007	NHBDKAOG_02492	2506671603
OG0000007	NHBDKAOG_02350	2506670296, 2506670300
OG0000007	NHBDKAOG_00803	2506672436
OG0000008	NHBDKAOG_03792, NHBDKAOG_03164	2506670553
OG0000009	NHBDKAOG_01970	2506671496
OG0000010	NHBDKAOG_04701	2506669966, 2506670233, 2506672138
OG0000010	NHBDKAOG_03611	2506671410, 2506672508, 2506670257, 2506669954, 2506670117, 2506672127
OG0000012	NHBDKAOG_04515	2506670781
OG0000013	NHBDKAOG_03695	2506670749, 2506669724, 2506670582, 2506672027, 2506670785, 2506670326, 2506670367, 2506670677, 2506670899, 2506669832, 2506669843, 2506670287, 2506671018, 2506670416, 2506671161, 2506671502, 2506670817, 2506672447, 2506671665
OG0000014	NHBDKAOG_03919, NHBDKAOG_02894, NHBDKAOG_00189, NHBDKAOG_02843	2506670652, 2506670651
OG0000018	NHBDKAOG_03788, NHBDKAOG_03161	2506670550
OG0000021	NHBDKAOG_04514	2506670782
OG0000022	NHBDKAOG_04513	2506670783
OG0000025	NHBDKAOG_02905	2506670072
OG0000025	NHBDKAOG_02903	2506670070
OG0000026	NHBDKAOG_00997	2506670294
OG0000027	NHBDKAOG_03174, NHBDKAOG_01356	2506670423
OG0000028	NHBDKAOG_04052, NHBDKAOG_03385	2506670682
OG0000028	NHBDKAOG_03851	2506672297
OG0000031	NHBDKAOG_04579	2506669389, 2506670285
OG0000032	NHBDKAOG_04723	2506672167
OG0000033	NHBDKAOG_00492, NHBDKAOG_03095	2506671563
OG0000036	NHBDKAOG_03455	2506669688
OG0000036	NHBDKAOG_02117	2506669884
OG0000037	NHBDKAOG_02820	2506670173
OG0000037	NHBDKAOG_03097	2506670324
OG0000038	NHBDKAOG_02918, NHBDKAOG_02917	2506670542, 2506670531, 2506672294
OG0000039	NHBDKAOG_04718	2506672341
OG0000039	NHBDKAOG_02882	2506671083
OG0000039	NHBDKAOG_04609	2506671918
OG0000040	NHBDKAOG_03720, NHBDKAOG_02573	2506672235
OG0000042	NHBDKAOG_03391	2506671802
OG0000042	NHBDKAOG_00537	2506669625
OG0000043	NHBDKAOG_03018	2506671737
OG0000043	NHBDKAOG_03256	2506669837, 2506672203
OG0000044	NHBDKAOG_03430	2506669879
OG0000045	NHBDKAOG_01546	2506672552
OG0000049	NHBDKAOG_00436, NHBDKAOG_04492, NHBDKAOG_03143, NHBDKAOG_00033, NHBDKAOG_04347	2506669657
OG0000050	NHBDKAOG_04143	2506671573
OG0000051	NHBDKAOG_01188, NHBDKAOG_02785, NHBDKAOG_02786	2506672175
OG0000051	NHBDKAOG_03061	2506670710
OG0000052	NHBDKAOG_03676	2506672590
