Orthogroup	GCA_003332265.1	GCA_000310125.2
OG0000000	BFLDHLJO_00050	lcl|AMXB01000032.1_prot_ENO77225.1_3159, lcl|AMXB01000002.1_prot_ENO82916.1_176, lcl|AMXB01000044.1_prot_ENO76101.1_3704, lcl|AMXB01000009.1_prot_ENO81770.1_1261, lcl|AMXB01000013.1_prot_ENO81282.1_1820
OG0000001	BFLDHLJO_00653	lcl|AMXB01000009.1_prot_ENO81772.1_1263
OG0000001	BFLDHLJO_03206	lcl|AMXB01000006.1_prot_ENO82310.1_914, lcl|AMXB01000006.1_prot_ENO82315.1_919
OG0000003	BFLDHLJO_03582	lcl|AMXB01000023.1_prot_ENO79296.1_2604
OG0000007	BFLDHLJO_02740	lcl|AMXB01000001.1_prot_ENO83277.1_150
OG0000007	BFLDHLJO_00097	lcl|AMXB01000010.1_prot_ENO81610.1_1378
OG0000007	BFLDHLJO_02882	lcl|AMXB01000044.1_prot_ENO76093.1_3696, lcl|AMXB01000032.1_prot_ENO77271.1_3205
OG0000008	BFLDHLJO_03410	lcl|AMXB01000009.1_prot_ENO81800.1_1291
OG0000010	BFLDHLJO_00210	lcl|AMXB01000003.1_prot_ENO82760.1_402, lcl|AMXB01000012.1_prot_ENO81321.1_1624, lcl|AMXB01000009.1_prot_ENO81857.1_1348
OG0000010	BFLDHLJO_02149	lcl|AMXB01000047.1_prot_ENO75792.1_3751
OG0000011	BFLDHLJO_03585, BFLDHLJO_03583, BFLDHLJO_03584, BFLDHLJO_03580	lcl|AMXB01000002.1_prot_ENO83078.1_338
OG0000012	BFLDHLJO_01163	lcl|AMXB01000008.1_prot_ENO81989.1_1217, lcl|AMXB01000043.1_prot_ENO76132.1_3674
OG0000012	BFLDHLJO_02327	lcl|AMXB01000026.1_prot_ENO78508.1_2851
OG0000013	BFLDHLJO_03160	lcl|AMXB01000057.1_prot_ENO75275.1_3995, lcl|AMXB01000011.1_prot_ENO81460.1_1516
OG0000014	BFLDHLJO_03087	lcl|AMXB01000004.1_prot_ENO82565.1_524
OG0000018	BFLDHLJO_00215	lcl|AMXB01000068.1_prot_ENO74859.1_4125
OG0000018	BFLDHLJO_00896	lcl|AMXB01000029.1_prot_ENO77786.1_3043
OG0000021	BFLDHLJO_01066	lcl|AMXB01000043.1_prot_ENO76133.1_3675
OG0000022	BFLDHLJO_02510, BFLDHLJO_01068, BFLDHLJO_01161	lcl|AMXB01000043.1_prot_ENO76134.1_3676
OG0000023	BFLDHLJO_00001, BFLDHLJO_00937, BFLDHLJO_01145	lcl|AMXB01000041.1_prot_ENO76265.1_3603
OG0000024	BFLDHLJO_01091	lcl|AMXB01000008.1_prot_ENO82014.1_1242
OG0000025	BFLDHLJO_04143	lcl|AMXB01000004.1_prot_ENO82587.1_546, lcl|AMXB01000004.1_prot_ENO82564.1_523
OG0000026	BFLDHLJO_01814, BFLDHLJO_03161	lcl|AMXB01000011.1_prot_ENO81528.1_1584
