locus_tag	ftype	length_bp	gene	EC_number	COG	product
BBLLADNB_00001	CDS	1278	thrS	6.1.1.3	COG0441	Threonine--tRNA ligase
BBLLADNB_00001	gene	1278	thrS			
BBLLADNB_00002	CDS	432	infC		COG0290	Translation initiation factor IF-3
BBLLADNB_00002	gene	432	infC			
BBLLADNB_00003	CDS	198	rpmI		COG0291	50S ribosomal protein L35
BBLLADNB_00003	gene	198	rpmI			
BBLLADNB_00004	CDS	360	rplT		COG0292	50S ribosomal protein L20
BBLLADNB_00004	gene	360	rplT			
BBLLADNB_00005	CDS	1047	pheS	6.1.1.20	COG0016	Phenylalanine--tRNA ligase alpha subunit
BBLLADNB_00005	gene	1047	pheS			
BBLLADNB_00006	CDS	2376	pheT	6.1.1.20	COG0072	Phenylalanine--tRNA ligase beta subunit
BBLLADNB_00006	gene	2376	pheT			
BBLLADNB_00007	CDS	303	ihfA		COG0776	Integration host factor subunit alpha
BBLLADNB_00007	gene	303	ihfA			
BBLLADNB_00008	CDS	378				hypothetical protein
BBLLADNB_00008	gene	378				
BBLLADNB_00009	tRNA	77				tRNA-Pro(ggg)
BBLLADNB_00009	gene	77				
BBLLADNB_00010	CDS	1467				Bacteriohemerythrin
BBLLADNB_00010	gene	1467				
BBLLADNB_00011	CDS	1320	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
BBLLADNB_00011	gene	1320	sasA_1			
BBLLADNB_00012	CDS	612				hypothetical protein
BBLLADNB_00012	gene	612				
BBLLADNB_00013	CDS	369	cheY_1		COG0784	Chemotaxis protein CheY
BBLLADNB_00013	gene	369	cheY_1			
BBLLADNB_00014	CDS	1218	sasA_2	2.7.-.-		Adaptive-response sensory-kinase SasA
BBLLADNB_00014	gene	1218	sasA_2			
BBLLADNB_00015	CDS	567	hupR1_1		COG2204	Hydrogenase transcriptional regulatory protein hupR1
BBLLADNB_00015	gene	567	hupR1_1			
BBLLADNB_00016	CDS	1320		3.1.4.-	COG3437	putative cyclic di-GMP phosphodiesterase
BBLLADNB_00016	gene	1320				
BBLLADNB_00017	CDS	1266		3.1.4.-	COG2206	Cyclic di-GMP phosphodiesterase
BBLLADNB_00017	gene	1266				
BBLLADNB_00018	CDS	1164	rssB_1			Regulator of RpoS
BBLLADNB_00018	gene	1164	rssB_1			
BBLLADNB_00019	CDS	1068				hypothetical protein
BBLLADNB_00019	gene	1068				
BBLLADNB_00020	CDS	1182	arnB_1	2.6.1.87		UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase
BBLLADNB_00020	gene	1182	arnB_1			
BBLLADNB_00021	CDS	1245	btrK	4.1.1.95		L-glutamyl-[BtrI acyl-carrier protein] decarboxylase
BBLLADNB_00021	gene	1245	btrK			
BBLLADNB_00022	CDS	1632	lcfB_1	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
BBLLADNB_00022	gene	1632	lcfB_1			
BBLLADNB_00023	CDS	879	ada		COG0350	Bifunctional transcriptional activator/DNA repair enzyme Ada
BBLLADNB_00023	gene	879	ada			
BBLLADNB_00024	CDS	879				IS1595 family transposase ISBsp7
BBLLADNB_00024	gene	879				
BBLLADNB_00025	CDS	1116	aroC	4.2.3.5	COG0082	Chorismate synthase
BBLLADNB_00025	gene	1116	aroC			
BBLLADNB_00026	CDS	252				hypothetical protein
BBLLADNB_00026	gene	252				
BBLLADNB_00027	CDS	1212	hcaT			putative 3-phenylpropionic acid transporter
BBLLADNB_00027	gene	1212	hcaT			
BBLLADNB_00028	CDS	840	loiP	3.4.24.-	COG0501	Metalloprotease LoiP
BBLLADNB_00028	gene	840	loiP			
BBLLADNB_00029	CDS	453	leuC_1	4.2.1.33	COG0065	3-isopropylmalate dehydratase large subunit
BBLLADNB_00029	gene	453	leuC_1			
BBLLADNB_00030	CDS	909	leuC_2	4.2.1.33	COG0065	3-isopropylmalate dehydratase large subunit
BBLLADNB_00030	gene	909	leuC_2			
BBLLADNB_00031	CDS	129				hypothetical protein
BBLLADNB_00031	gene	129				
