Orthogroup	spades-bin.32	644736333
OG0000000	BBLLADNB_00941	MCBBHCNB_04024
OG0000000	BBLLADNB_03206	MCBBHCNB_03074
OG0000000	BBLLADNB_03358	MCBBHCNB_03051
OG0000001	BBLLADNB_03360	MCBBHCNB_03050
OG0000001	BBLLADNB_03667	MCBBHCNB_02886
OG0000003	BBLLADNB_02283	MCBBHCNB_02579
OG0000005	BBLLADNB_03049	MCBBHCNB_01897
OG0000005	BBLLADNB_03375, BBLLADNB_00440, BBLLADNB_03261, BBLLADNB_02134	MCBBHCNB_03075
OG0000005	BBLLADNB_01889, BBLLADNB_00354	MCBBHCNB_02440
OG0000006	BBLLADNB_03729	MCBBHCNB_00079, MCBBHCNB_02043, MCBBHCNB_04374, MCBBHCNB_01180, MCBBHCNB_01938, MCBBHCNB_03027, MCBBHCNB_02356, MCBBHCNB_02562, MCBBHCNB_01549, MCBBHCNB_04694, MCBBHCNB_01703, MCBBHCNB_02079, MCBBHCNB_00430, MCBBHCNB_01137, MCBBHCNB_04567
OG0000006	BBLLADNB_03015	MCBBHCNB_01608, MCBBHCNB_02180, MCBBHCNB_00179, MCBBHCNB_03666
OG0000007	BBLLADNB_02365	MCBBHCNB_01993
OG0000007	BBLLADNB_02048	MCBBHCNB_04138
OG0000008	BBLLADNB_00820	MCBBHCNB_04223
OG0000008	BBLLADNB_02916	MCBBHCNB_02100
OG0000009	BBLLADNB_00363	MCBBHCNB_03579
OG0000010	BBLLADNB_03377	MCBBHCNB_00970
OG0000011	BBLLADNB_00442, BBLLADNB_00454, BBLLADNB_03054, BBLLADNB_00011, BBLLADNB_00010, BBLLADNB_00439, BBLLADNB_00438, BBLLADNB_00014	MCBBHCNB_00613
OG0000012	BBLLADNB_02911	MCBBHCNB_00422, MCBBHCNB_01788
OG0000014	BBLLADNB_03006	MCBBHCNB_00511
OG0000015	BBLLADNB_03018	MCBBHCNB_00333, MCBBHCNB_01547, MCBBHCNB_00077, MCBBHCNB_04561, MCBBHCNB_02045, MCBBHCNB_01701, MCBBHCNB_02560, MCBBHCNB_02358, MCBBHCNB_02081, MCBBHCNB_01135, MCBBHCNB_01940, MCBBHCNB_00432, MCBBHCNB_04696, MCBBHCNB_01178, MCBBHCNB_04376, MCBBHCNB_03029, MCBBHCNB_01606, MCBBHCNB_02182, MCBBHCNB_00181, MCBBHCNB_03664
OG0000016	BBLLADNB_03016	MCBBHCNB_03665, MCBBHCNB_00180, MCBBHCNB_01607, MCBBHCNB_02181
