locus_tag	ftype	length_bp	gene	EC_number	COG	product
PEBOPBNB_00001	CDS	1323	rkpK	1.1.1.22	COG1004	UDP-glucose 6-dehydrogenase
PEBOPBNB_00001	gene	1323	rkpK			
PEBOPBNB_00002	CDS	1008	wbgU_1	5.1.3.7		UDP-N-acetylglucosamine 4-epimerase
PEBOPBNB_00002	gene	1008	wbgU_1			
PEBOPBNB_00003	CDS	261	vapB1			Antitoxin VapB1
PEBOPBNB_00003	gene	261	vapB1			
PEBOPBNB_00004	CDS	987				hypothetical protein
PEBOPBNB_00004	gene	987				
PEBOPBNB_00005	CDS	939				hypothetical protein
PEBOPBNB_00005	gene	939				
PEBOPBNB_00006	CDS	336				hypothetical protein
PEBOPBNB_00006	gene	336				
PEBOPBNB_00007	CDS	1431				hypothetical protein
PEBOPBNB_00007	gene	1431				
PEBOPBNB_00008	CDS	651				hypothetical protein
PEBOPBNB_00008	gene	651				
PEBOPBNB_00009	CDS	192				hypothetical protein
PEBOPBNB_00009	gene	192				
PEBOPBNB_00010	CDS	999				hypothetical protein
PEBOPBNB_00010	gene	999				
PEBOPBNB_00011	CDS	1035				hypothetical protein
PEBOPBNB_00011	gene	1035				
PEBOPBNB_00012	CDS	819				hypothetical protein
PEBOPBNB_00012	gene	819				
PEBOPBNB_00013	CDS	1230				hypothetical protein
PEBOPBNB_00013	gene	1230				
PEBOPBNB_00014	CDS	1248	gtf1	2.4.1.-		Glycosyltransferase Gtf1
PEBOPBNB_00014	gene	1248	gtf1			
PEBOPBNB_00015	CDS	762	neuA	2.7.7.43	COG1083	N-acylneuraminate cytidylyltransferase
PEBOPBNB_00015	gene	762	neuA			
PEBOPBNB_00016	CDS	585	cugP	2.7.7.9		UTP--glucose-1-phosphate uridylyltransferase
PEBOPBNB_00016	gene	585	cugP			
PEBOPBNB_00017	CDS	1179	legG	3.2.1.184	COG0381	GDP/UDP-N,N'-diacetylbacillosamine 2-epimerase (hydrolyzing)
PEBOPBNB_00017	gene	1179	legG			
PEBOPBNB_00018	CDS	1008	legI	2.5.1.101	COG2089	N,N'-diacetyllegionaminic acid synthase
PEBOPBNB_00018	gene	1008	legI			
PEBOPBNB_00019	CDS	618	epsM	2.3.1.-	COG0110	Putative acetyltransferase EpsM
PEBOPBNB_00019	gene	618	epsM			
PEBOPBNB_00020	CDS	1176	per	2.6.1.102	COG0399	GDP-perosamine synthase
PEBOPBNB_00020	gene	1176	per			
PEBOPBNB_00021	CDS	996	strE	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase
PEBOPBNB_00021	gene	996	strE			
PEBOPBNB_00022	CDS	648				hypothetical protein
PEBOPBNB_00022	gene	648				
PEBOPBNB_00023	CDS	339				hypothetical protein
PEBOPBNB_00023	gene	339				
PEBOPBNB_00024	CDS	93				hypothetical protein
PEBOPBNB_00024	gene	93				
PEBOPBNB_00025	CDS	4647	cheA_1	2.7.13.3	COG0643	Chemotaxis protein CheA
PEBOPBNB_00025	gene	4647	cheA_1			
PEBOPBNB_00026	CDS	1452	phrA	4.1.99.3	COG0415	Deoxyribodipyrimidine photo-lyase
PEBOPBNB_00026	gene	1452	phrA			
PEBOPBNB_00027	CDS	561				hypothetical protein
PEBOPBNB_00027	gene	561				
PEBOPBNB_00028	CDS	492	yqgF	3.1.-.-	COG0816	Putative pre-16S rRNA nuclease
PEBOPBNB_00028	gene	492	yqgF			
PEBOPBNB_00029	CDS	507	pyrR			Bifunctional protein pyrR
PEBOPBNB_00029	gene	507	pyrR			
PEBOPBNB_00030	CDS	960	pyrB	2.1.3.2		Aspartate carbamoyltransferase
PEBOPBNB_00030	gene	960	pyrB			
PEBOPBNB_00031	CDS	1254	pyrC'		COG0044	Dihydroorotase-like protein
PEBOPBNB_00031	gene	1254	pyrC'			
PEBOPBNB_00032	CDS	291				hypothetical protein
PEBOPBNB_00032	gene	291				
PEBOPBNB_00033	CDS	540				hypothetical protein
PEBOPBNB_00033	gene	540				
PEBOPBNB_00034	CDS	816	proC	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
PEBOPBNB_00034	gene	816	proC			
PEBOPBNB_00035	CDS	690	yggS		COG0325	Pyridoxal phosphate homeostasis protein
PEBOPBNB_00035	gene	690	yggS			
PEBOPBNB_00036	CDS	1047	pilT_1		COG2805	Twitching mobility protein
PEBOPBNB_00036	gene	1047	pilT_1			
PEBOPBNB_00037	CDS	1137	pilT_2		COG2805	Twitching mobility protein
PEBOPBNB_00037	gene	1137	pilT_2			
PEBOPBNB_00038	CDS	1161	rlmL	2.1.1.173	COG0116	Ribosomal RNA large subunit methyltransferase L
PEBOPBNB_00038	gene	1161	rlmL			
PEBOPBNB_00039	CDS	417				hypothetical protein
PEBOPBNB_00039	gene	417				
PEBOPBNB_00040	CDS	909				hypothetical protein
