Orthogroup	2767802455	Reactor4-bin.4
OG0000000	NHBDKAOG_04722	CEKMHFBL_00104
OG0000000	NHBDKAOG_01300	CEKMHFBL_00934
OG0000000	NHBDKAOG_00494, NHBDKAOG_01578	CEKMHFBL_02518
OG0000000	NHBDKAOG_03134	CEKMHFBL_01092
OG0000000	NHBDKAOG_01589	CEKMHFBL_01560
OG0000000	NHBDKAOG_01585	CEKMHFBL_02342, CEKMHFBL_02343
OG0000000	NHBDKAOG_00493	CEKMHFBL_02506
OG0000000	NHBDKAOG_03221	CEKMHFBL_01587
OG0000001	NHBDKAOG_04715, NHBDKAOG_01601	CEKMHFBL_02659
OG0000004	NHBDKAOG_01640	CEKMHFBL_02642
OG0000004	NHBDKAOG_01367	CEKMHFBL_01768
OG0000005	NHBDKAOG_00123	CEKMHFBL_02232
OG0000005	NHBDKAOG_01584	CEKMHFBL_02344
OG0000007	NHBDKAOG_02492	CEKMHFBL_00819
OG0000007	NHBDKAOG_00803	CEKMHFBL_01033
OG0000008	NHBDKAOG_03567	CEKMHFBL_03345
OG0000008	NHBDKAOG_01553	CEKMHFBL_03645
OG0000008	NHBDKAOG_03792, NHBDKAOG_03164	CEKMHFBL_02387
OG0000009	NHBDKAOG_01970	CEKMHFBL_01332
OG0000010	NHBDKAOG_04701	CEKMHFBL_03892
OG0000010	NHBDKAOG_03611	CEKMHFBL_01416
OG0000012	NHBDKAOG_02831	CEKMHFBL_02868, CEKMHFBL_03228
OG0000014	NHBDKAOG_02843	CEKMHFBL_02749
OG0000017	NHBDKAOG_04528	CEKMHFBL_00770
OG0000017	NHBDKAOG_04459, NHBDKAOG_02566, NHBDKAOG_02970, NHBDKAOG_02097, NHBDKAOG_00414, NHBDKAOG_03035, NHBDKAOG_03808, NHBDKAOG_03868, NHBDKAOG_02659	CEKMHFBL_04242, CEKMHFBL_02906
OG0000018	NHBDKAOG_00335	CEKMHFBL_02704
OG0000018	NHBDKAOG_03788, NHBDKAOG_03161	CEKMHFBL_02390
OG0000018	NHBDKAOG_00147	CEKMHFBL_01623
OG0000019	NHBDKAOG_00827	CEKMHFBL_00547
OG0000019	NHBDKAOG_02841	CEKMHFBL_03919
OG0000019	NHBDKAOG_02842	CEKMHFBL_03901
OG0000019	NHBDKAOG_01131	CEKMHFBL_04094, CEKMHFBL_04090, CEKMHFBL_02185, CEKMHFBL_02601
OG0000019	NHBDKAOG_04726	CEKMHFBL_03917
OG0000020	NHBDKAOG_03201	CEKMHFBL_01198
OG0000021	NHBDKAOG_02830	CEKMHFBL_02869, CEKMHFBL_03229
OG0000022	NHBDKAOG_04180	CEKMHFBL_03230, CEKMHFBL_02870
OG0000023	NHBDKAOG_03970	CEKMHFBL_00702
OG0000023	NHBDKAOG_04501, NHBDKAOG_01482, NHBDKAOG_01483	CEKMHFBL_03002
OG0000023	NHBDKAOG_01567, NHBDKAOG_01686, NHBDKAOG_02276	CEKMHFBL_01998
