Orthogroup	GCA_003332265.1	644736333
OG0000000	BFLDHLJO_00050	MCBBHCNB_03514, MCBBHCNB_02488, MCBBHCNB_03120, MCBBHCNB_03074, MCBBHCNB_01367, MCBBHCNB_03051
OG0000001	BFLDHLJO_00653	MCBBHCNB_03050
OG0000001	BFLDHLJO_03206	MCBBHCNB_00167, MCBBHCNB_00185
OG0000003	BFLDHLJO_03582	MCBBHCNB_02579
OG0000004	BFLDHLJO_04176	MCBBHCNB_02840
OG0000004	BFLDHLJO_02874, BFLDHLJO_04117	MCBBHCNB_04231
OG0000005	BFLDHLJO_02786	MCBBHCNB_01897
OG0000005	BFLDHLJO_03557	MCBBHCNB_03075, MCBBHCNB_02440
OG0000006	BFLDHLJO_02363, BFLDHLJO_02095, BFLDHLJO_02362	MCBBHCNB_04563, MCBBHCNB_00335
OG0000006	BFLDHLJO_02364	MCBBHCNB_00079, MCBBHCNB_02043, MCBBHCNB_04374, MCBBHCNB_01180, MCBBHCNB_01938, MCBBHCNB_03027, MCBBHCNB_02356, MCBBHCNB_02562, MCBBHCNB_01549, MCBBHCNB_04694, MCBBHCNB_01703, MCBBHCNB_02079, MCBBHCNB_00430, MCBBHCNB_01137, MCBBHCNB_04567
OG0000007	BFLDHLJO_02740	MCBBHCNB_01993
OG0000007	BFLDHLJO_00811	MCBBHCNB_02703
OG0000007	BFLDHLJO_00097	MCBBHCNB_04138
OG0000008	BFLDHLJO_02956	MCBBHCNB_04223
OG0000008	BFLDHLJO_03410	MCBBHCNB_03177
OG0000008	BFLDHLJO_02897	MCBBHCNB_02100
OG0000008	BFLDHLJO_02400	MCBBHCNB_04528
OG0000010	BFLDHLJO_00210, BFLDHLJO_02149	MCBBHCNB_00970
OG0000011	BFLDHLJO_03585, BFLDHLJO_03583, BFLDHLJO_03584, BFLDHLJO_03580	MCBBHCNB_00613
OG0000012	BFLDHLJO_02512	MCBBHCNB_00422, MCBBHCNB_01788
OG0000012	BFLDHLJO_02327	MCBBHCNB_02021
OG0000013	BFLDHLJO_03160	MCBBHCNB_00389
OG0000015	BFLDHLJO_02360	MCBBHCNB_00333, MCBBHCNB_01547, MCBBHCNB_00077, MCBBHCNB_04561, MCBBHCNB_02045, MCBBHCNB_01701, MCBBHCNB_02560, MCBBHCNB_02358, MCBBHCNB_02081, MCBBHCNB_01135, MCBBHCNB_01940, MCBBHCNB_00432, MCBBHCNB_04696, MCBBHCNB_01178, MCBBHCNB_04376, MCBBHCNB_03029, MCBBHCNB_01606, MCBBHCNB_02182, MCBBHCNB_00181, MCBBHCNB_03664
