Orthogroup,UW4
OG0000005,BBLLADNB_00354
OG0000005,BBLLADNB_00440
OG0000005,BBLLADNB_01889
OG0000005,BBLLADNB_02134
OG0000005,BBLLADNB_02838
OG0000005,BBLLADNB_03049
OG0000005,BBLLADNB_03261
OG0000005,BBLLADNB_03375
OG0000019,BBLLADNB_01031
OG0000029,BBLLADNB_00560
OG0000041,BBLLADNB_01612
OG0000053,BBLLADNB_01069
OG0000054,BBLLADNB_00357
OG0000054,BBLLADNB_00370
OG0000054,BBLLADNB_01519
OG0000065,BBLLADNB_00863
OG0000065,BBLLADNB_02912
OG0000065,BBLLADNB_03516
OG0000066,BBLLADNB_01070
OG0000098,BBLLADNB_01440
OG0000098,BBLLADNB_01591
OG0000098,BBLLADNB_02037
OG0000098,BBLLADNB_03088
OG0000099,BBLLADNB_00371
OG0000099,BBLLADNB_01516
OG0000101,BBLLADNB_02965
OG0000208,BBLLADNB_01000
OG0000208,BBLLADNB_01763
OG0000291,BBLLADNB_01394
OG0000294,BBLLADNB_00450
OG0000294,BBLLADNB_01629
OG0000297,BBLLADNB_01378
OG0000580,BBLLADNB_00418
OG0000583,BBLLADNB_00519
OG0000583,BBLLADNB_01390
OG0000590,BBLLADNB_01135
OG0000590,BBLLADNB_01721
OG0001600,BBLLADNB_03279
OG0001607,BBLLADNB_01148
OG0001618,BBLLADNB_01632
OG0001626,BBLLADNB_02450
OG0001626,BBLLADNB_02685
OG0001628,BBLLADNB_00975
OG0001631,BBLLADNB_00251
OG0001631,BBLLADNB_00295
OG0001633,BBLLADNB_02423
OG0001633,BBLLADNB_03897
OG0001643,BBLLADNB_03914
OG0001644,BBLLADNB_03223
OG0001645,BBLLADNB_03446
OG0001653,BBLLADNB_03545
OG0001654,BBLLADNB_00201
OG0001959,BBLLADNB_01890
OG0001967,BBLLADNB_03021
OG0001967,BBLLADNB_03022
OG0001970,BBLLADNB_01750
OG0001980,BBLLADNB_01787
OG0001981,BBLLADNB_02157
OG0001990,BBLLADNB_02863
OG0001995,BBLLADNB_01875
OG0001996,BBLLADNB_01876
OG0002000,BBLLADNB_02232
OG0002002,BBLLADNB_01978
OG0002007,BBLLADNB_01616
OG0002009,BBLLADNB_03744
OG0002016,BBLLADNB_00060
OG0002019,BBLLADNB_02455
OG0002027,BBLLADNB_01631
OG0002027,BBLLADNB_02096
OG0002029,BBLLADNB_01724
OG0002039,BBLLADNB_00966
OG0002040,BBLLADNB_00965
OG0002041,BBLLADNB_00959
OG0002042,BBLLADNB_00953
OG0002045,BBLLADNB_01118
OG0002046,BBLLADNB_01530
OG0002049,BBLLADNB_03898
OG0002050,BBLLADNB_02427
OG0002052,BBLLADNB_00352
OG0002059,BBLLADNB_03577
OG0002061,BBLLADNB_03224
OG0002062,BBLLADNB_03222
OG0002064,BBLLADNB_03596
OG0002065,BBLLADNB_03498
OG0002066,BBLLADNB_03447
OG0002079,BBLLADNB_01409
OG0002080,BBLLADNB_01773
OG0002081,BBLLADNB_00823
OG0002083,BBLLADNB_00811
OG0002085,BBLLADNB_00451
OG0002087,BBLLADNB_03556
OG0002088,BBLLADNB_00901
OG0002088,BBLLADNB_02176
OG0002100,BBLLADNB_02732
OG0002262,BBLLADNB_02922
OG0002263,BBLLADNB_02921
OG0002265,BBLLADNB_03625
OG0002267,BBLLADNB_00518
OG0002268,BBLLADNB_00517
OG0002269,BBLLADNB_00515
OG0002270,BBLLADNB_00514
OG0002271,BBLLADNB_00513
OG0002272,BBLLADNB_00501
OG0002273,BBLLADNB_03508
OG0002275,BBLLADNB_02650
OG0002276,BBLLADNB_02047
OG0002277,BBLLADNB_00922
OG0002278,BBLLADNB_00926
OG0002279,BBLLADNB_00928
OG0002280,BBLLADNB_00933
OG0002281,BBLLADNB_02419
OG0002282,BBLLADNB_02804
OG0002283,BBLLADNB_03865
OG0002284,BBLLADNB_03866
OG0002287,BBLLADNB_03281
OG0002288,BBLLADNB_01072
OG0002292,BBLLADNB_02153
OG0002293,BBLLADNB_00433
OG0002294,BBLLADNB_01149
OG0002297,BBLLADNB_03137
OG0002298,BBLLADNB_00408
OG0002303,BBLLADNB_00603
OG0002305,BBLLADNB_02556
OG0002308,BBLLADNB_00801
OG0002309,BBLLADNB_00802
OG0002310,BBLLADNB_00803
OG0002311,BBLLADNB_00804
OG0002312,BBLLADNB_01670
OG0002313,BBLLADNB_01327
OG0002314,BBLLADNB_01331
OG0002318,BBLLADNB_01691
OG0002320,BBLLADNB_01708
OG0002322,BBLLADNB_03663
OG0002324,BBLLADNB_00523
OG0002325,BBLLADNB_00369
OG0002326,BBLLADNB_01980
OG0002327,BBLLADNB_01979
OG0002328,BBLLADNB_01977
OG0002329,BBLLADNB_03555
OG0002330,BBLLADNB_03840
OG0002331,BBLLADNB_01010
OG0002332,BBLLADNB_00571
OG0002333,BBLLADNB_00564
