Orthogroup	Reactor4-bin.4	spades-bin.32
OG0000000	CEKMHFBL_02338	BBLLADNB_01887
OG0000000	CEKMHFBL_02342, CEKMHFBL_02343	BBLLADNB_03206
OG0000001	CEKMHFBL_02659	BBLLADNB_03360
OG0000001	CEKMHFBL_00603	BBLLADNB_03667
OG0000005	CEKMHFBL_02232	BBLLADNB_03049
OG0000005	CEKMHFBL_02344	BBLLADNB_03375, BBLLADNB_00440, BBLLADNB_03261, BBLLADNB_02134
OG0000005	CEKMHFBL_02337	BBLLADNB_01889, BBLLADNB_00354
OG0000007	CEKMHFBL_00819	BBLLADNB_02365
OG0000007	CEKMHFBL_01033	BBLLADNB_02048
OG0000008	CEKMHFBL_03345	BBLLADNB_00820
OG0000008	CEKMHFBL_02387	BBLLADNB_01965, BBLLADNB_02916
OG0000009	CEKMHFBL_00035, CEKMHFBL_04174	BBLLADNB_00222
OG0000009	CEKMHFBL_01332	BBLLADNB_00363
OG0000010	CEKMHFBL_01416	BBLLADNB_03377
OG0000012	CEKMHFBL_02868, CEKMHFBL_03228	BBLLADNB_02911
OG0000014	CEKMHFBL_01760, CEKMHFBL_01116, CEKMHFBL_01879	BBLLADNB_00567
OG0000015	CEKMHFBL_00703, CEKMHFBL_01850	BBLLADNB_03018
OG0000018	CEKMHFBL_02390	BBLLADNB_02917
OG0000018	CEKMHFBL_01623	BBLLADNB_03302
OG0000019	CEKMHFBL_00547	BBLLADNB_01031
OG0000020	CEKMHFBL_01198	BBLLADNB_00458
OG0000020	CEKMHFBL_00208, CEKMHFBL_04032	BBLLADNB_03115
OG0000021	CEKMHFBL_02606, CEKMHFBL_02607	BBLLADNB_02910
OG0000022	CEKMHFBL_03230, CEKMHFBL_02870	BBLLADNB_02895
OG0000022	CEKMHFBL_02608	BBLLADNB_02361
OG0000023	CEKMHFBL_01998	BBLLADNB_02415
OG0000024	CEKMHFBL_01279	BBLLADNB_01074
OG0000025	CEKMHFBL_00023	BBLLADNB_00234
OG0000025	CEKMHFBL_00025	BBLLADNB_00232
OG0000027	CEKMHFBL_02369	BBLLADNB_00516
OG0000027	CEKMHFBL_01085	BBLLADNB_03780
OG0000027	CEKMHFBL_04180	BBLLADNB_02016
OG0000029	CEKMHFBL_03930, CEKMHFBL_03623	BBLLADNB_00560
OG0000030	CEKMHFBL_02371	BBLLADNB_02770
OG0000030	CEKMHFBL_04070	BBLLADNB_03769
OG0000031	CEKMHFBL_03820	BBLLADNB_02526
OG0000031	CEKMHFBL_01847	BBLLADNB_02574, BBLLADNB_02737
OG0000032	CEKMHFBL_04121	BBLLADNB_02940
OG0000033	CEKMHFBL_02512	BBLLADNB_02789
OG0000033	CEKMHFBL_00263	BBLLADNB_01869
OG0000033	CEKMHFBL_02366	BBLLADNB_01136, BBLLADNB_01722
OG0000034	CEKMHFBL_01360	BBLLADNB_01062, BBLLADNB_03824, BBLLADNB_01056
OG0000036	CEKMHFBL_00095	BBLLADNB_00050
OG0000036	CEKMHFBL_02849	BBLLADNB_03688
OG0000037	CEKMHFBL_04080	BBLLADNB_02512
OG0000037	CEKMHFBL_00511, CEKMHFBL_02368	BBLLADNB_01720
OG0000038	CEKMHFBL_03869	BBLLADNB_01016
OG0000038	CEKMHFBL_04060	BBLLADNB_01017
OG0000039	CEKMHFBL_01029	BBLLADNB_01332
OG0000041	CEKMHFBL_01080, CEKMHFBL_03746, CEKMHFBL_01530, CEKMHFBL_03826	BBLLADNB_01612
OG0000042	CEKMHFBL_02780	BBLLADNB_00833
OG0000042	CEKMHFBL_03086	BBLLADNB_03740
OG0000043	CEKMHFBL_00672	BBLLADNB_03212
OG0000043	CEKMHFBL_01825	BBLLADNB_03100
OG0000044	CEKMHFBL_00411	BBLLADNB_01902
OG0000044	CEKMHFBL_02925	BBLLADNB_02029
OG0000045	CEKMHFBL_03652	BBLLADNB_00254
OG0000046	CEKMHFBL_01621	BBLLADNB_03304
OG0000047	CEKMHFBL_02147	BBLLADNB_01205
OG0000050	CEKMHFBL_01280	BBLLADNB_03871
OG0000051	CEKMHFBL_01682	BBLLADNB_03799
OG0000052	CEKMHFBL_03062	BBLLADNB_00641, BBLLADNB_01939
OG0000052	CEKMHFBL_02105	BBLLADNB_01564
OG0000054	CEKMHFBL_02822	BBLLADNB_00370
OG0000054	CEKMHFBL_01873	BBLLADNB_00357
OG0000054	CEKMHFBL_01194, CEKMHFBL_02171	BBLLADNB_01519
OG0000057	CEKMHFBL_01481	BBLLADNB_02559
OG0000058	CEKMHFBL_01992	BBLLADNB_00531
OG0000059	CEKMHFBL_02685	BBLLADNB_03386
OG0000060	CEKMHFBL_00562	BBLLADNB_01044
OG0000062	CEKMHFBL_02889	BBLLADNB_02809
OG0000062	CEKMHFBL_02890	BBLLADNB_02808
