Orthogroup,UW4
OG0005760,BBLLADNB_00148
OG0005760,BBLLADNB_03408
OG0005761,BBLLADNB_00149
OG0005761,BBLLADNB_03409
OG0005762,BBLLADNB_00157
OG0005762,BBLLADNB_00159
OG0005763,BBLLADNB_00624
OG0005763,BBLLADNB_00631
OG0005764,BBLLADNB_01099
OG0005764,BBLLADNB_01547
OG0005765,BBLLADNB_01104
OG0005765,BBLLADNB_01105
OG0005766,BBLLADNB_01545
OG0005766,BBLLADNB_03411
OG0005767,BBLLADNB_01983
OG0005767,BBLLADNB_02288
OG0005768,BBLLADNB_02002
OG0005768,BBLLADNB_02006
OG0005769,BBLLADNB_02003
OG0005769,BBLLADNB_02004
OG0005770,BBLLADNB_03372
OG0005770,BBLLADNB_03837
OG0005771,BBLLADNB_03404
OG0005771,BBLLADNB_03406
