Orthogroup	GCA_000310125.2	Reactor4-bin.4
OG0000000	lcl|AMXB01000059.1_prot_ENO75197.1_4017	CEKMHFBL_00104, CEKMHFBL_02338
OG0000000	lcl|AMXB01000032.1_prot_ENO77225.1_3159	CEKMHFBL_00934
OG0000000	lcl|AMXB01000002.1_prot_ENO82916.1_176	CEKMHFBL_02518
OG0000001	lcl|AMXB01000009.1_prot_ENO81772.1_1263	CEKMHFBL_02659
OG0000001	lcl|AMXB01000034.1_prot_ENO77039.1_3274	CEKMHFBL_00603
OG0000007	lcl|AMXB01000001.1_prot_ENO83277.1_150	CEKMHFBL_00819
OG0000007	lcl|AMXB01000010.1_prot_ENO81610.1_1378	CEKMHFBL_01033
OG0000008	lcl|AMXB01000009.1_prot_ENO81800.1_1291	CEKMHFBL_03645
OG0000009	lcl|AMXB01000004.1_prot_ENO82573.1_532	CEKMHFBL_00035, CEKMHFBL_04174
OG0000009	lcl|AMXB01000031.1_prot_ENO77392.1_3126	CEKMHFBL_02138
OG0000010	lcl|AMXB01000020.1_prot_ENO80497.1_2379, lcl|AMXB01000002.1_prot_ENO83094.1_354	CEKMHFBL_03892
OG0000010	lcl|AMXB01000003.1_prot_ENO82760.1_402, lcl|AMXB01000012.1_prot_ENO81321.1_1624, lcl|AMXB01000009.1_prot_ENO81857.1_1348, lcl|AMXB01000047.1_prot_ENO75792.1_3751	CEKMHFBL_01416
OG0000012	lcl|AMXB01000026.1_prot_ENO78508.1_2851	CEKMHFBL_02609, CEKMHFBL_01788
OG0000014	lcl|AMXB01000004.1_prot_ENO82570.1_529	CEKMHFBL_02749
OG0000018	lcl|AMXB01000068.1_prot_ENO74859.1_4125	CEKMHFBL_02704
OG0000018	lcl|AMXB01000025.1_prot_ENO78743.1_2768	CEKMHFBL_02390
OG0000018	lcl|AMXB01000029.1_prot_ENO77786.1_3043	CEKMHFBL_01623
OG0000022	lcl|AMXB01000043.1_prot_ENO76134.1_3676	CEKMHFBL_03230, CEKMHFBL_02870, CEKMHFBL_02608
