Orthogroup	2767802316	GCA_003332265.1
OG0000000	GNJGOIBN_03238, GNJGOIBN_02184, GNJGOIBN_02038, GNJGOIBN_02807, GNJGOIBN_01089, GNJGOIBN_02784, GNJGOIBN_02552	BFLDHLJO_00050
OG0000001	GNJGOIBN_02783	BFLDHLJO_00653
OG0000001	GNJGOIBN_02617	BFLDHLJO_03206
OG0000003	GNJGOIBN_02279	BFLDHLJO_03582
OG0000004	GNJGOIBN_02570	BFLDHLJO_04176
OG0000004	GNJGOIBN_03954	BFLDHLJO_02874, BFLDHLJO_04117
OG0000005	GNJGOIBN_01591	BFLDHLJO_02786
OG0000005	GNJGOIBN_02808, GNJGOIBN_02136	BFLDHLJO_03557
OG0000007	GNJGOIBN_01682	BFLDHLJO_02740
OG0000007	GNJGOIBN_02413	BFLDHLJO_00811
OG0000007	GNJGOIBN_03861	BFLDHLJO_00097
OG0000008	GNJGOIBN_03946	BFLDHLJO_02956
OG0000008	GNJGOIBN_02907	BFLDHLJO_03410
OG0000008	GNJGOIBN_01777	BFLDHLJO_02897
OG0000008	GNJGOIBN_04243	BFLDHLJO_02400
OG0000012	GNJGOIBN_00163, GNJGOIBN_01481	BFLDHLJO_02512
OG0000012	GNJGOIBN_01708	BFLDHLJO_02327
OG0000013	GNJGOIBN_00130	BFLDHLJO_03160
OG0000018	GNJGOIBN_02009	BFLDHLJO_00215
OG0000018	GNJGOIBN_01435	BFLDHLJO_00896
OG0000019	GNJGOIBN_02080	BFLDHLJO_00447
OG0000020	GNJGOIBN_02862	BFLDHLJO_02820
OG0000020	GNJGOIBN_00622	BFLDHLJO_01549
OG0000021	GNJGOIBN_01482	BFLDHLJO_02511
OG0000021	GNJGOIBN_00164	BFLDHLJO_01162, BFLDHLJO_01066, BFLDHLJO_01067
OG0000022	GNJGOIBN_01483, GNJGOIBN_01441	BFLDHLJO_02510
OG0000023	GNJGOIBN_01828, GNJGOIBN_02729	BFLDHLJO_00937
OG0000024	GNJGOIBN_00161	BFLDHLJO_01091
OG0000025	GNJGOIBN_01396, GNJGOIBN_01398	BFLDHLJO_04143
OG0000026	GNJGOIBN_01642	BFLDHLJO_03161
OG0000026	GNJGOIBN_02406	BFLDHLJO_02074
OG0000027	GNJGOIBN_01057	BFLDHLJO_03552
OG0000027	GNJGOIBN_03430	BFLDHLJO_03055
OG0000029	GNJGOIBN_01756	BFLDHLJO_00690
OG0000030	GNJGOIBN_01059	BFLDHLJO_01988
OG0000030	GNJGOIBN_00011	BFLDHLJO_02159
OG0000031	GNJGOIBN_00504	BFLDHLJO_02043, BFLDHLJO_00513
OG0000032	GNJGOIBN_02442	BFLDHLJO_00585
OG0000033	GNJGOIBN_01176	BFLDHLJO_02611, BFLDHLJO_02776
OG0000035	GNJGOIBN_01826	BFLDHLJO_02766, BFLDHLJO_00831, BFLDHLJO_00165, BFLDHLJO_00164, BFLDHLJO_00161, BFLDHLJO_00163
OG0000036	GNJGOIBN_00722	BFLDHLJO_01216
OG0000036	GNJGOIBN_02274	BFLDHLJO_01637
OG0000037	GNJGOIBN_01444, GNJGOIBN_01503	BFLDHLJO_02489
OG0000037	GNJGOIBN_01174	BFLDHLJO_02778
OG0000038	GNJGOIBN_01149	BFLDHLJO_00291
OG0000038	GNJGOIBN_01150	BFLDHLJO_00292
OG0000041	GNJGOIBN_02172, GNJGOIBN_02173, GNJGOIBN_02174, GNJGOIBN_00154	BFLDHLJO_00219
OG0000042	GNJGOIBN_00750	BFLDHLJO_01193
OG0000042	GNJGOIBN_00041	BFLDHLJO_01926
OG0000043	GNJGOIBN_01992	BFLDHLJO_02167
OG0000043	GNJGOIBN_00999	BFLDHLJO_01582
OG0000044	GNJGOIBN_02838	BFLDHLJO_01136
OG0000045	GNJGOIBN_02914	BFLDHLJO_03403
OG0000046	GNJGOIBN_02007	BFLDHLJO_00213
OG0000046	GNJGOIBN_01433	BFLDHLJO_00899
OG0000047	GNJGOIBN_02774	BFLDHLJO_03646
OG0000047	GNJGOIBN_01232	BFLDHLJO_00610
OG0000049	GNJGOIBN_03138	BFLDHLJO_03377
OG0000051	GNJGOIBN_01570	BFLDHLJO_01019
OG0000051	GNJGOIBN_01207	BFLDHLJO_01624
OG0000052	GNJGOIBN_00801	BFLDHLJO_03290
OG0000053	GNJGOIBN_00182	BFLDHLJO_02840
OG0000054	GNJGOIBN_00246	BFLDHLJO_04108
OG0000054	GNJGOIBN_02014	BFLDHLJO_03794
OG0000057	GNJGOIBN_00078	BFLDHLJO_03111
OG0000057	GNJGOIBN_00077	BFLDHLJO_03773
OG0000058	GNJGOIBN_00484	BFLDHLJO_00396
OG0000058	GNJGOIBN_03320	BFLDHLJO_03931
OG0000059	GNJGOIBN_02745	BFLDHLJO_03040
OG0000059	GNJGOIBN_03026	BFLDHLJO_02331
OG0000060	GNJGOIBN_02067	BFLDHLJO_00428, BFLDHLJO_00435
OG0000062	GNJGOIBN_03896	BFLDHLJO_00029
OG0000062	GNJGOIBN_03895	BFLDHLJO_00028
OG0000063	GNJGOIBN_02364	BFLDHLJO_02567
OG0000063	GNJGOIBN_03119	BFLDHLJO_01518
OG0000064	GNJGOIBN_02093	BFLDHLJO_00878
OG0000065	GNJGOIBN_01480	BFLDHLJO_02514
OG0000065	GNJGOIBN_03616	BFLDHLJO_01809
OG0000066	GNJGOIBN_00181	BFLDHLJO_02839
OG0000067	GNJGOIBN_03137	BFLDHLJO_01405
OG0000067	GNJGOIBN_04286	BFLDHLJO_03378
OG0000068	GNJGOIBN_01549	BFLDHLJO_00861
OG0000070	GNJGOIBN_00388	BFLDHLJO_01591
OG0000071	GNJGOIBN_01476	BFLDHLJO_02893
OG0000072	GNJGOIBN_03611	BFLDHLJO_01815
OG0000073	GNJGOIBN_01305, GNJGOIBN_01306	BFLDHLJO_00220
OG0000074	GNJGOIBN_01378	BFLDHLJO_02240
OG0000075	GNJGOIBN_03888	BFLDHLJO_01517
OG0000075	GNJGOIBN_02893	BFLDHLJO_03416
OG0000076	GNJGOIBN_03125	BFLDHLJO_02087
OG0000076	GNJGOIBN_03421	BFLDHLJO_02916
OG0000077	GNJGOIBN_02859	BFLDHLJO_02817
OG0000078	GNJGOIBN_03292	BFLDHLJO_01266
OG0000079	GNJGOIBN_01580	BFLDHLJO_01009
OG0000079	GNJGOIBN_00886	BFLDHLJO_00418
OG0000081	GNJGOIBN_02282	BFLDHLJO_01631
OG0000082	GNJGOIBN_03704	BFLDHLJO_02370
OG0000083	GNJGOIBN_04343	BFLDHLJO_04172
OG0000083	GNJGOIBN_02839	BFLDHLJO_01135
OG0000084	GNJGOIBN_01333	BFLDHLJO_04045, BFLDHLJO_02299
OG0000085	GNJGOIBN_00757	BFLDHLJO_01191
OG0000087	GNJGOIBN_03188	BFLDHLJO_00453
OG0000087	GNJGOIBN_02084	BFLDHLJO_00886
OG0000088	GNJGOIBN_02063	BFLDHLJO_00431
