target_id	length	eff_length	est_counts	tpm
2767802316_GNJGOIBN_00001	1455	1300.08	39.2827	0.783621
2767802316_GNJGOIBN_00002	225	85.0018	0	0
2767802316_GNJGOIBN_00003	198	64.1727	1	0.404134
2767802316_GNJGOIBN_00004	726	571.083	0	0
2767802316_GNJGOIBN_00005	987	832.083	1	0.031168
2767802316_GNJGOIBN_00006	837	682.083	1	0.0380223
2767802316_GNJGOIBN_00007	669	514.083	0	0
2767802316_GNJGOIBN_00008	1071	916.083	0	0
2767802316_GNJGOIBN_00009	564	409.083	502.045	31.8278
2767802316_GNJGOIBN_00010	1560	1405.08	30	0.553726
2767802316_GNJGOIBN_00011	1755	1600.08	7	0.113457
2767802316_GNJGOIBN_00012	333	180.94	0	0
2767802316_GNJGOIBN_00013	1722	1567.08	96	1.58875
2767802316_GNJGOIBN_00014	930	775.083	13	0.434981
2767802316_GNJGOIBN_00015	561	406.083	23	1.46889
2767802316_GNJGOIBN_00016	759	604.083	23	0.987431
2767802316_GNJGOIBN_00017	1773	1618.08	13	0.208362
2767802316_GNJGOIBN_00018	1035	880.083	12	0.353617
2767802316_GNJGOIBN_00019	1374	1219.08	83	1.76571
2767802316_GNJGOIBN_00020	780	625.083	6	0.248937
2767802316_GNJGOIBN_00021	762	607.083	19	0.811673
2767802316_GNJGOIBN_00022	1377	1222.08	5	0.106107
2767802316_GNJGOIBN_00023	1683	1528.08	62	1.05225
2767802316_GNJGOIBN_00024	210	73.0967	12	4.25754
2767802316_GNJGOIBN_00025	1422	1267.08	126	2.57894
2767802316_GNJGOIBN_00026	1131	976.083	125	3.32123
2767802316_GNJGOIBN_00027	2469	2314.08	135	1.51297
2767802316_GNJGOIBN_00028	822	667.083	38	1.47734
2767802316_GNJGOIBN_00029	636	481.083	12	0.6469
2767802316_GNJGOIBN_00030	702	547.083	3	0.142214
2767802316_GNJGOIBN_00031	1446	1291.08	4	0.0803491
2767802316_GNJGOIBN_00032	567	412.083	2	0.12587
2767802316_GNJGOIBN_00033	405	250.817	0	0
2767802316_GNJGOIBN_00034	357	204.044	1	0.127102
2767802316_GNJGOIBN_00035	1329	1174.08	13	0.287157
2767802316_GNJGOIBN_00036	792	637.083	8	0.325664
2767802316_GNJGOIBN_00037	762	607.083	9	0.384477
2767802316_GNJGOIBN_00038	684	529.083	46	2.25481
2767802316_GNJGOIBN_00039	2472	2317.08	46	0.514863
2767802316_GNJGOIBN_00040	2049	1894.08	354.992	4.86065
2767802316_GNJGOIBN_00041	2298	2143.08	121	1.46427
2767802316_GNJGOIBN_00042	76	10.379	185.323	463.07
2767802316_GNJGOIBN_00043	76	10.379	79.512	198.678
2767802316_GNJGOIBN_00044	1560	1405.08	771	14.2308
2767802316_GNJGOIBN_00045	276	128.503	41	8.27455
2767802316_GNJGOIBN_00046	327	175.229	122	18.0563
2767802316_GNJGOIBN_00047	906	751.083	284	9.80632
2767802316_GNJGOIBN_00048	312	160.992	367	59.1203
2767802316_GNJGOIBN_00049	306	155.393	201	33.5459
2767802316_GNJGOIBN_00050	609	454.083	541	30.8985
2767802316_GNJGOIBN_00051	291	141.865	6999	1279.49
2767802316_GNJGOIBN_00052	495	340.229	255	19.4377
2767802316_GNJGOIBN_00053	597	442.083	124	7.27434
2767802316_GNJGOIBN_00054	2994	2839.08	382	3.48948
