orthogroup,locus_tag,KO,Kannotation,all_or_exp_core,Module,Module_type,General_category,Specific_category,Module_description
OG0000005,BBLLADNB_00354,K21023,diguanylate cyclase [EC:2.7.7.65] ,all ,NA,NA,NA,NA,NA
OG0000005,BBLLADNB_01889,K21023,diguanylate cyclase [EC:2.7.7.65] ,all ,NA,NA,NA,NA,NA
OG0000005,BBLLADNB_03261,K21023,diguanylate cyclase [EC:2.7.7.65] ,all ,NA,NA,NA,NA,NA
OG0000006,BBLLADNB_03015,K07497,putative transposase  ,exp,NA,NA,NA,NA,NA
OG0000006,BBLLADNB_03729,K07497,putative transposase  ,exp,NA,NA,NA,NA,NA
OG0000029,BBLLADNB_00560,K07487,transposase   ,all,NA,NA,NA,NA,NA
OG0000029,BBLLADNB_00560,K07481,transposase IS5 family,all,NA,NA,NA,NA,NA
OG0000054,BBLLADNB_00357,K00700,1 4-alpha-glucan branching enzyme [EC:2.4.1.18],all,M00854,Pathway modules,Carbohydrate metabolism,Other carbohydrate metabolism, Glycogen biosynthesis, glucose-1P => glycogen/starch [PATH:map00500 map01100]
OG0000054,BBLLADNB_00357,K00700,1 4-alpha-glucan branching enzyme [EC:2.4.1.18],all,M00565,Pathway modules,Carbohydrate metabolism,Other carbohydrate metabolism, Trehalose biosynthesis, D-glucose 1P => trehalose [PATH:map00500 map01100 map01110]
OG0000054,BBLLADNB_00370,K00700,1 4-alpha-glucan branching enzyme [EC:2.4.1.18],all,M00854,Pathway modules,Carbohydrate metabolism,Other carbohydrate metabolism, Glycogen biosynthesis, glucose-1P => glycogen/starch [PATH:map00500 map01100]
OG0000054,BBLLADNB_00370,K00700,1 4-alpha-glucan branching enzyme [EC:2.4.1.18],all,M00565,Pathway modules,Carbohydrate metabolism,Other carbohydrate metabolism, Trehalose biosynthesis, D-glucose 1P => trehalose [PATH:map00500 map01100 map01110]
OG0000054,BBLLADNB_01519,K00700,1 4-alpha-glucan branching enzyme [EC:2.4.1.18],all,M00854,Pathway modules,Carbohydrate metabolism,Other carbohydrate metabolism, Glycogen biosynthesis, glucose-1P => glycogen/starch [PATH:map00500 map01100]
OG0000054,BBLLADNB_01519,K00700,1 4-alpha-glucan branching enzyme [EC:2.4.1.18],all,M00565,Pathway modules,Carbohydrate metabolism,Other carbohydrate metabolism, Trehalose biosynthesis, D-glucose 1P => trehalose [PATH:map00500 map01100 map01110]
OG0000065,BBLLADNB_00863,K22468,polyphosphate kinase [EC:2.7.4.1] ,all,NA,NA,NA,NA,NA
OG0000065,BBLLADNB_02912,K22468,polyphosphate kinase [EC:2.7.4.1] ,all,NA,NA,NA,NA,NA
OG0000098,BBLLADNB_02037,K01130,arylsulfatase [EC:3.1.6.1]  ,all,NA,NA,NA,NA,NA
OG0000098,BBLLADNB_03088,K01130,arylsulfatase [EC:3.1.6.1]  ,all,NA,NA,NA,NA,NA
OG0000099,BBLLADNB_00371,K01214,isoamylase [EC:3.2.1.68]  ,all,M00565,Pathway modules,Carbohydrate metabolism,Other carbohydrate metabolism, Trehalose biosynthesis, D-glucose 1P => trehalose [PATH:map00500 map01100 map01110]
OG0000099,BBLLADNB_01516,K01214,isoamylase [EC:3.2.1.68]  ,all,M00565,Pathway modules,Carbohydrate metabolism,Other carbohydrate metabolism, Trehalose biosynthesis, D-glucose 1P => trehalose [PATH:map00500 map01100 map01110]
OG0000101,BBLLADNB_02965,K03321,sulfate permease SulP family,all,NA,NA,NA,NA,NA
OG0000161,BBLLADNB_01337,K00986,RNA-directed DNA polymerase [EC:2.7.7.49],exp,NA,NA,NA,NA,NA
OG0000161,BBLLADNB_02050,K00986,RNA-directed DNA polymerase [EC:2.7.7.49],exp,NA,NA,NA,NA,NA
OG0000208,BBLLADNB_01763,K07001,NTE family protein ,all,NA,NA,NA,NA,NA
OG0000288,BBLLADNB_00627,K09691,lipopolysaccharide transport system ATP-binding,exp,NA,NA,NA,NA,NA
OG0000294,BBLLADNB_00450,K06077,outer membrane lipoprotein SlyB,all,NA,NA,NA,NA,NA
OG0000294,BBLLADNB_01629,K06077,outer membrane lipoprotein SlyB,all,NA,NA,NA,NA,NA
OG0000590,BBLLADNB_01721,K07645,two-component system ompR family,all,NA,NA,NA,NA,NA
OG0000590,BBLLADNB_01721,K02484,two-component system ompR family,all,NA,NA,NA,NA,NA
OG0000593,BBLLADNB_01343,K03654,ATP-dependent DNA helicase RecQ,exp,NA,NA,NA,NA,NA
OG0000596,BBLLADNB_03416,K21498,antitoxin HigA-1  ,exp,NA,NA,NA,NA,NA
OG0001627,BBLLADNB_02014,K21023,diguanylate cyclase [EC:2.7.7.65] ,exp,NA,NA,NA,NA,NA
OG0001628,BBLLADNB_00975,K03821,polyhydroxyalkanoate synthase subunit PhaC,all,NA,NA,NA,NA,NA
