Species Tree Node	Duplications (all)	Duplications (50% support)
N0	264	42
2506520024	272	272
N2	359	44
2767802455	350	350
N4	158	51
Reactor4-bin.4	173	173
GCA_000310125.2	475	475
GCA_003332265.1	172	172
N5	37	37
2687453699	26	26
644736333	222	222
spades-bin.32	43	43
N1	62	62
N3	59	33
N6	59	27
N7	89	89
2767802316	57	57
